# MPBH  fPBH
1.202386711173999886e+21 0.000000000000000000e+00
1.074767623417554141e+21 0.000000000000000000e+00
9.606937881230966784e+20 0.000000000000000000e+00
8.587275374034377769e+20 0.000000000000000000e+00
7.675837947652949934e+20 0.000000000000000000e+00
6.861138793427191726e+20 0.000000000000000000e+00
6.132910291190501868e+20 0.000000000000000000e+00
5.481974606871727309e+20 0.000000000000000000e+00
4.900128024627099075e+20 0.000000000000000000e+00
4.380037555744488817e+20 0.000000000000000000e+00
3.915148521286261146e+20 0.000000000000000000e+00
3.499601943738275594e+20 0.000000000000000000e+00
3.128160706555528479e+20 0.000000000000000000e+00
2.796143550996325663e+20 0.000000000000000000e+00
2.499366078409492398e+20 0.000000000000000000e+00
2.234088014429074883e+20 0.000000000000000000e+00
1.996966070449286021e+20 0.000000000000000000e+00
1.785011808294743572e+20 0.000000000000000000e+00
1.595553977056212419e+20 0.000000000000000000e+00
1.426204847424478904e+20 0.000000000000000000e+00
1.274830119235395748e+20 0.000000000000000000e+00
1.139522022972080292e+20 0.000000000000000000e+00
1.018575276223621530e+20 0.000000000000000000e+00
9.104655920804845978e+19 0.000000000000000000e+00
8.138304686088565555e+19 0.000000000000000000e+00
7.274520172944261939e+19 0.000000000000000000e+00
6.502416140431672934e+19 0.000000000000000000e+00
5.812261792963511910e+19 0.000000000000000000e+00
5.195359143486129766e+19 0.000000000000000000e+00
4.643933393103853158e+19 0.000000000000000000e+00
4.151034945606086656e+19 0.000000000000000000e+00
3.710451821990122291e+19 0.000000000000000000e+00
3.316631371143430554e+19 0.000000000000000000e+00
2.964610290008507597e+19 0.000000000000000000e+00
2.649952071277163315e+19 0.000000000000000000e+00
2.368691090270069965e+19 0.000000000000000000e+00
2.117282626330931610e+19 0.000000000000000000e+00
1.892558188856822579e+19 0.000000000000000000e+00
1.691685584940507955e+19 0.000000000000000000e+00
1.512133225358919475e+19 0.000000000000000000e+00
1.351638219057582899e+19 0.000000000000000000e+00
1.208177854027059200e+19 0.000000000000000000e+00
1.079944105146112410e+19 0.000000000000000000e+00
9.653208477149585408e+18 0.000000000000000000e+00
8.628634895016638464e+18 0.000000000000000000e+00
7.712807646052550656e+18 0.000000000000000000e+00
6.894184596843124736e+18 0.000000000000000000e+00
6.162448674533580800e+18 0.000000000000000000e+00
5.508377841180793856e+18 0.000000000000000000e+00
4.923728868785776640e+18 0.000000000000000000e+00
4.401133450227814912e+18 0.000000000000000000e+00
3.934005336790794752e+18 0.000000000000000000e+00
3.516457331939659264e+18 0.000000000000000000e+00
3.143227095222866432e+18 0.000000000000000000e+00
2.809610821210638336e+18 0.000000000000000000e+00
2.511403957627257856e+18 0.000000000000000000e+00
2.244848215550421248e+18 0.000000000000000000e+00
2.006584203849469440e+18 0.000000000000000000e+00
1.793609090916188160e+18 0.000000000000000000e+00
1.603238760100660736e+18 0.000000000000000000e+00
1.433073981898771968e+18 0.000000000000000000e+00
