# k  Ps  Pt
4.566342598271421073e-05 2.777709881529097335e-09 8.358156005839148031e-12
4.829846055211856108e-05 2.772688575931906876e-09 8.357973580441977450e-12
5.108555132476486326e-05 2.767671788349704088e-09 8.357790686378947790e-12
5.403347279234797877e-05 2.762659816443300875e-09 8.357608225595643302e-12
5.715150578371187807e-05 2.757652153059033999e-09 8.357424636847757583e-12
6.044946668332978792e-05 2.752649193967291303e-09 8.357241123153498900e-12
6.393773833585380845e-05 2.747650704218290184e-09 8.357056991166093771e-12
6.762730273402843279e-05 2.742656923139009441e-09 8.356872915048940678e-12
7.152977559288027003e-05 2.737667668522176364e-09 8.356688393993258642e-12
7.565744291903151342e-05 2.732682760399586974e-09 8.356502820883024148e-12
8.002329969026570277e-05 2.727702670679308123e-09 8.356317676023238929e-12
8.464109076712159345e-05 2.722727199150961659e-09 8.356132335053147640e-12
8.952535416531439295e-05 2.717756235156115669e-09 8.355946444407066881e-12
9.469146682521581795e-05 2.712789842446277688e-09 8.355760206282274432e-12
1.001556930224901492e-04 2.707827920237995976e-09 8.355573291999644417e-12
1.059352355722938035e-04 2.702870579560212359e-09 8.355386052177946909e-12
1.120482899882426154e-04 2.697917964862670708e-09 8.355198925374267690e-12
1.185141017666542778e-04 2.692970009492573808e-09 8.355011713922414347e-12
1.253530269764107741e-04 2.688026468827928564e-09 8.354823640335312018e-12
1.325865963451951159e-04 2.683087623852853678e-09 8.354635581849138172e-12
1.402375830438606203e-04 2.678153210216358530e-09 8.354446695617001289e-12
1.483300743823373234e-04 2.673223364180765280e-09 8.354257415943697191e-12
1.568895476427914753e-04 2.668298066550901136e-09 8.354067676438377053e-12
1.659429502887833506e-04 2.663377693614986699e-09 8.353878670685874640e-12
1.755187848029395633e-04 2.658461706702094494e-09 8.353688673002040311e-12
1.856471984202327113e-04 2.653550263934148048e-09 8.353498187915537960e-12
1.963600780393737341e-04 2.648643426258953922e-09 8.353307393040344856e-12
2.076911506111197138e-04 2.643741207128524421e-09 8.353116359432939673e-12
2.196760893195474473e-04 2.638843402000556792e-09 8.352924385408012595e-12
2.323526258905808867e-04 2.633950571281165709e-09 8.352733298854854048e-12
2.457606693813457950e-04 2.629061924193829993e-09 8.352540532199928051e-12
2.599424318243331129e-04 2.624178175320975202e-09 8.352348400789056729e-12
2.749425611219339901e-04 2.619298836068899458e-09 8.352155299803094603e-12
2.908082816097291184e-04 2.614424041395405262e-09 8.351961672339562225e-12
3.075895427310644482e-04 2.609554156984586150e-09 8.351768707206377021e-12
3.253391762909825275e-04 2.604688658341493209e-09 8.351574662590464389e-12
3.441130627845801642e-04 2.599827856928411709e-09 8.351380611268285107e-12
3.639703073234417871e-04 2.594971339839494244e-09 8.351185140892618377e-12
3.849734257140117739e-04 2.590119720135272712e-09 8.350990271311027610e-12
4.071885412737257155e-04 2.585272788587145246e-09 8.350795295985229655e-12
4.306855930045297453e-04 2.580430165985394375e-09 8.350599015350173804e-12
4.555385557791786079e-04 2.575592438509497782e-09 8.350403301699365756e-12
4.818256732335076406e-04 2.570759078377649381e-09 8.350206424203797641e-12
5.096297040978893089e-04 2.565930679578379196e-09 8.350010342196699685e-12
5.390381827433936984e-04 2.561106498411942451e-09 8.349812588040691192e-12
5.701436947629129511e-04 2.556287112130580083e-09 8.349615076065861502e-12
6.030441684548536446e-04 2.551472389570245526e-09 8.349417358159964143e-12
6.378431831270716919e-04 2.546662061566359597e-09 8.349218526541511856e-12
6.746502951916588230e-04 2.541856625386804862e-09 8.349020243665643573e-12
7.135813830772194926e-04 2.537055531973728698e-09 8.348820674590971252e-12
7.547590120445159126e-04 2.532259452758069486e-09 8.348622052771391090e-12
7.983128200540076875e-04 2.527467542698712691e-09 8.348421543395297811e-12
8.443799259001010839e-04 2.522680376035766544e-09 8.348221069526366920e-12
8.931053608970298662e-04 2.517897922569667592e-09 8.348020519230643940e-12
9.446425254754144693e-04 2.513120100423930616e-09 8.347819620224884690e-12
9.991536721269901524e-04 2.508347136857050755e-09 8.347619135915525676e-12
1.056810416217950554e-03 2.503578473865586395e-09 8.347417155476527727e-12
1.117794276279065026e-03 2.498814514164100004e-09 8.347215082050139155e-12
1.182297245473548728e-03 2.494055138541217183e-09 8.347012482330746621e-12
1.250522396041830846e-03 2.489300472924180143e-09 8.346809760348148119e-12
