# k_modes P_scalar P_tensor
4.5666995978879475e-05 2.6362686768296185e-09 8.3132881363026481e-12
4.8427140423403505e-05 2.6311534201438851e-09 8.3130531880817893e-12
5.1354109884360857e-05 2.6260412890445008e-09 8.3128117919167436e-12
5.4457987379748354e-05 2.6209346430141626e-09 8.3125713940295343e-12
5.7749465352061009e-05 2.6158335670547933e-09 8.3123322311438013e-12
6.1239882502325016e-05 2.6107375505016140e-09 8.3120927413124301e-12
6.4941262850405545e-05 2.6056463091419592e-09 8.3118519727540095e-12
6.8866357156144897e-05 2.6005598972025206e-09 8.3116100866910230e-12
7.3028686844023896e-05 2.5954782399183476e-09 8.3113668520798509e-12
7.7442590582659174e-05 2.5904028875171300e-09 8.3111272097325323e-12
8.2123273679597146e-05 2.5853315660253239e-09 8.3108839085326181e-12
8.7086860461563288e-05 2.5802656980270271e-09 8.3106414523300905e-12
9.2350449820609223e-05 2.5752045645719406e-09 8.3103975662330609e-12
9.7932174117507112e-05 2.5701490594768101e-09 8.3101550940033564e-12
1.0385126164530524e-04 2.5650972730946549e-09 8.3099078847840450e-12
1.1012810286822410e-04 2.5600515011702589e-09 8.3096633379314456e-12
1.1678432066407556e-04 2.5550104252260800e-09 8.3094171805817149e-12
1.2384284481218333e-04 2.5499753252832933e-09 8.3091735920081552e-12
1.3132799098340269e-04 2.5449445552070361e-09 8.3089271903850846e-12
1.3926554450435219e-04 2.5399187607912350e-09 8.3086800511321329e-12
1.4768284918441216e-04 2.5348986443263553e-09 8.3084344951452472e-12
1.5660890151148772e-04 2.5298825643419684e-09 8.3081851499937953e-12
1.6607445054102893e-04 2.5248714435603053e-09 8.3079349861779301e-12
1.7611210382240971e-04 2.5198664957149017e-09 8.3076880206113615e-12
1.8675643972757125e-04 2.5148666853557266e-09 8.3074408545994159e-12
1.9804412656888537e-04 2.5098709441272493e-09 8.3071899387545586e-12
2.1001404891658117e-04 2.5048801448206592e-09 8.3069381316736341e-12
2.2270744155088518e-04 2.4998948413170471e-09 8.3066872767106932e-12
2.3616803151031959e-04 2.4949148295195386e-09 8.3064367074549116e-12
2.5044218872549668e-04 2.4899402106465422e-09 8.3061867387877097e-12
2.6557908575732258e-04 2.4849695261663451e-09 8.3059325210586590e-12
2.8163086718988864e-04 2.4800048266422550e-09 8.3056809059095103e-12
2.9865282926158193e-04 2.4750444872652649e-09 8.3054264073336068e-12
3.1670361035322558e-04 2.4700900414204071e-09 8.3051742186428394e-12
3.3584539298945248e-04 2.4651400133238961e-09 8.3049193356685992e-12
3.5614411804917717e-04 2.4601944073602040e-09 8.3046617951013582e-12
3.7766971192309824e-04 2.4552549994010688e-09 8.3044075634135684e-12
4.0049632740075399e-04 2.4503202804452530e-09 8.3041515637041116e-12
4.2470259911695613e-04 2.4453914911910940e-09 8.3038979987927164e-12
4.5037191443758097e-04 2.4404662232892325e-09 8.3036387234559099e-12
4.7759270071788410e-04 2.4355472141275453e-09 8.3033829990963208e-12
5.0645872992289990e-04 2.4306329388908490e-09 8.3031256854652067e-12
5.3706944165931247e-04 2.4257228085831431e-09 8.3028647373920492e-12
5.6953028573158656e-04 2.4208187130531602e-09 8.3026066678647897e-12
6.0395308540243085e-04 2.4159192158490206e-09 8.3023465585230062e-12
6.4045642260896916e-04 2.4110249216677920e-09 8.3020864683912274e-12
6.7916604646164056e-04 2.4061366251703573e-09 8.3018292037563894e-12
7.2021530643305261e-04 2.4012518103504596e-09 8.3015661122855812e-12
7.6374561172906348e-04 2.3963728170051494e-09 8.3013052691916617e-12
8.0990691842457141e-04 2.3914979654949863e-09 8.3010409277212195e-12
8.5885824604211387e-04 2.3866295242538230e-09 8.3007809826092658e-12
9.1076822535284322e-04 2.3817651995119285e-09 8.3005175277515101e-12
9.6581567928695554e-04 2.3769063651153756e-09 8.3002553908844117e-12
1.0241902389547515e-03 2.3720517015301154e-09 8.2999900317392017e-12
1.0860929969004267e-03 2.3672025388070914e-09 8.2997261857902892e-12
1.1517371998389691e-03 2.3623581241631959e-09 8.2994612635412832e-12
1.2213489832625477e-03 2.3575172816438430e-09 8.2991912904651552e-12
1.2951681504470114e-03 2.3526839365511225e-09 8.2989301382005070e-12
1.3734489985420804e-03 2.3478531882430327e-09 8.2986606907349056e-12
1.4564611945909777e-03 2.3430278791598736e-09 8.2983931019093989e-12
1.5444907044973081e-03 2.3382074657238638e-09 8.2981256402716437e-12
1.6378407781393067e-03 2.3333916134758839e-09 8.2978572986003656e-12
1.7368329940250832e-03 2.3285798907849712e-09 8.2975867486546127e-12
1.8418083670875354e-03 2.3237730275899793e-09 8.2973168284384099e-12
1.9531285234351452e-03 2.3189712172167258e-09 8.2970485086819169e-12
2.0711769461055174e-03 2.3141732813091881e-09 8.2967778826055155e-12
2.1963602961131076e-03 2.3093795786467709e-09 8.2965066013162473e-12
2.3291098133419942e-03 2.3045899510286005e-09 8.2962344680381344e-12
