# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745112354697e-02 6.4382318418096799e-06 1.0000000000000000e+00 6.4382318418096799e-06 1.2325669854156495e-04 -6.8978936087821788e-05
1.0001000100010001e-02 5.6998429767456829e+00 -1.5700775297800250e-02 6.4382239054587279e-06 1.0100511772358554e+00 6.5029356350166144e-06 1.2325717247600726e-04 -2.5743312524540763e-04
2.0002000200020003e-02 5.6996859528920600e+00 -1.5700864666966609e-02 6.4382159690569768e-06 1.0202033806355373e+00 6.5682896968936293e-06 1.2325857564520024e-04 -6.2879358355461814e-04
3.0003000300030003e-02 5.6995289278559849e+00 -1.5701011478801832e-02 6.4382080325454807e-06 1.0304576256309239e+00 6.6343005625347585e-06 1.2326088072873344e-04 -9.8922168111943883e-04
4.0004000400040006e-02 5.6993719010714630e+00 -1.5701214043933778e-02 6.4382000958670234e-06 1.0408149378601792e+00 6.7009748327112358e-06 1.2326406122671165e-04 -1.3390381815680732e-03
5.0005000500050009e-02 5.6992148719891444e+00 -1.5701470723136487e-02 6.4381921589660717e-06 1.0512763532703375e+00 6.7683191745315330e-06 1.2326809143475611e-04 -1.6785546885818153e-03
6.0006000600060005e-02 5.6990578400758389e+00 -1.5701779925874550e-02 6.4381842217887231e-06 1.0618429182209215e+00 6.8363403221080302e-06 1.2327294642029848e-04 -2.0080736260272057e-03
7.0007000700070016e-02 5.6989008048140066e+00 -1.5702140108771575e-02 6.4381762842826528e-06 1.0725156895885979e+00 6.9050450772303657e-06 1.2327860199774651e-04 -2.3278883715782714e-03
8.0008000800080012e-02 5.6987437657012965e+00 -1.5702549774204367e-02 6.4381683463970719e-06 1.0832957348728884e+00 6.9744403100455852e-06 1.2328503470568280e-04 -2.6382843251171050e-03
9.0009000900090008e-02 5.6985867222501438e+00 -1.5703007469114159e-02 6.4381604080826823e-06 1.0941841323029422e+00 7.0445329597451060e-06 1.2329222178752752e-04 -2.9395389519602890e-03
1.0001000100010002e-01 5.6984296739873184e+00 -1.5703511783621265e-02 6.4381524692916257e-06 1.1051819709453796e+00 7.1153300352585815e-06 1.2330014116916597e-04 -3.2319213121481437e-03
1.1001100110011001e-01 5.6982726204534764e+00 -1.5704061349694796e-02 6.4381445299774518e-06 1.1162903508132236e+00 7.1868386159547657e-06 1.2330877143748895e-04 -3.5156924017853333e-03
1.2001200120012001e-01 5.6981155612027417e+00 -1.5704654839880410e-02 6.4381365900950610e-06 1.1275103829759225e+00 7.2590658523493823e-06 1.2331809181988958e-04 -3.7911054913886250e-03
1.3001300130013002e-01 5.6979584958023013e+00 -1.5705290966081861e-02 6.4381286496006746e-06 1.1388431896704807e+00 7.3320189668201369e-06 1.2332808216464626e-04 -4.0584064386302125e-03
1.4001400140014003e-01 5.6978014238320167e+00 -1.5705968478392101e-02 6.4381207084517874e-06 1.1502899044137056e+00 7.4057052543289053e-06 1.2333872292212314e-04 -4.3178339750322469e-03
1.5001500150015001e-01 5.6976443448840488e+00 -1.5706686163969672e-02 6.4381127666071331e-06 1.1618516721155829e+00 7.4801320831511795e-06 1.2334999512671817e-04 -4.5696199665501884e-03
1.6001600160016002e-01 5.6974872585625027e+00 -1.5707442845956158e-02 6.4381048240266502e-06 1.1735296491937914e+00 7.5553068956128508e-06 1.2336188037948963e-04 -4.8139896482154000e-03
1.7001700170017003e-01 5.6973301644830778e+00 -1.5708237382430434e-02 6.4380968806714413e-06 1.1853250036893694e+00 7.6312372088343945e-06 1.2337436083139248e-04 -5.0511618325329933e-03
1.8001800180018002e-01 5.6971730622727312e+00 -1.5709068665395488e-02 6.4380889365037448e-06 1.1972389153835423e+00 7.7079306154825268e-06 1.2338741916705521e-04 -5.2813490917114105e-03
1.9001900190019003e-01 5.6970159515693526e+00 -1.5709935619793527e-02 6.4380809914868953e-06 1.2092725759157255e+00 7.7853947845294258e-06 1.2340103858902871e-04 -5.5047579136854857e-03
2.0002000200020004e-01 5.6968588320214453e+00 -1.5710837202545166e-02 6.4380730455853004e-06 1.2214271889027140e+00 7.8636374620195878e-06 1.2341520280243862e-04 -5.7215888317867130e-03
2.1002100210021002e-01 5.6967017032878102e+00 -1.5711772401608419e-02 6.4380650987643994e-06 1.2337039700590677e+00 7.9426664718443633e-06 1.2342989599997198e-04 -5.9320365281453364e-03
2.2002200220022003e-01 5.6965445650372439e+00 -1.5712740235053254e-02 6.4380571509906381e-06 1.2461041473187098e+00 8.0224897165243111e-06 1.2344510284713068e-04 -6.1362899108001849e-03
2.3002300230023004e-01 5.6963874169482329e+00 -1.5713739750147466e-02 6.4380492022314361e-06 1.2586289609577446e+00 8.1031151779993895e-06 1.2346080846768227e-04 -6.3345321642631035e-03
2.4002400240024002e-01 5.6962302587086500e+00 -1.5714770022449628e-02 6.4380412524551576e-06 1.2712796637185113e+00 8.1845509184270956e-06 1.2347699842924075e-04 -6.5269407739245895e-03
2.5002500250025006e-01 5.6960730900154584e+00 -1.5715830154904856e-02 6.4380333016310806e-06 1.2840575209348848e+00 8.2668050809886374e-06 1.2349365872890841e-04 -6.7136875238216929e-03
2.6002600260026004e-01 5.6959159105744082e+00 -1.5716919276939145e-02 6.4380253497293669e-06 1.2969638106588344e+00 8.3498858907031743e-06 1.2351077577891064e-04 -6.8949384680980479e-03
