# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 5.500000000000000000e+00 -1.851654482742410429e-02 6.427304992477839837e-06 1.000000000000000000e+00 6.427304992477839837e-06 1.714312161730031827e-04 1.714312161733779101e-04
1.000100010001000149e-02 5.499814815892794861e+00 -1.851658687918012608e-02 6.427293972961495062e-06 1.010051177235855357e+00 6.491895843830675794e-06 1.714319948271127972e-04 -2.804812906468712218e-04
2.000200020002000298e-02 5.499629630950683357e+00 -1.851671138197834646e-02 6.427282953364679616e-06 1.020203380635537282e+00 6.557135797323806738e-06 1.714343002017432237e-04 -7.191015723627832389e-04
3.000300030003000273e-02 5.499444444361251350e+00 -1.851691591242137294e-02 6.427271933590704688e-06 1.030457625630923912e+00 6.623031375972154900e-06 1.714380874538419324e-04 -1.144818881553944564e-03
4.000400040004000596e-02 5.499259255335959828e+00 -1.851719811910108177e-02 6.427260913545725804e-06 1.040814937860179201e+00 6.689589168343253288e-06 1.714433130910203321e-04 -1.558011289497899165e-03
5.000500050005000918e-02 5.499074063109436139e+00 -1.851755572046071691e-02 6.427249893138646263e-06 1.051276353270337527e+00 6.756815829215962882e-06 1.714499349301837046e-04 -1.959045994577549195e-03
6.000600060006000547e-02 5.498888866938798969e+00 -1.851798650276938532e-02 6.427238872281047686e-06 1.061842918220921472e+00 6.824718080245851742e-06 1.714579120583745663e-04 -2.348279614991705122e-03
7.000700070007001563e-02 5.498703666102940701e+00 -1.851848831794985009e-02 6.427227850887093447e-06 1.072515689588597887e+00 6.893302710637213161e-06 1.714672047910225359e-04 -2.726058507789232057e-03
8.000800080008001192e-02 5.498518459901913680e+00 -1.851905908172383347e-02 6.427216828873464304e-06 1.083295734872888438e+00 6.962576577821875326e-06 1.714777746361890000e-04 -3.092719038460022343e-03
9.000900090009000820e-02 5.498333247656342238e+00 -1.851969677185608468e-02 6.427205806159278773e-06 1.094184132302942203e+00 7.032546608144822823e-06 1.714895842607483541e-04 -3.448587836565518167e-03
1.000100010001000184e-01 5.498148028706790313e+00 -1.852039942622859744e-02 6.427194782666024526e-06 1.105181970945379621e+00 7.103219797556697740e-06 1.715025974535242881e-04 -3.793982081056723830e-03
1.100110011001100146e-01 5.497962802413145056e+00 -1.852116514099800409e-02 6.427183758317478759e-06 1.116290350813223586e+00 7.174603212313271000e-06 1.715167790900598024e-04 -4.129209773952259056e-03
1.200120012001200109e-01 5.497777568154035954e+00 -1.852199206883160462e-02 6.427172733039642982e-06 1.127510382975922543e+00 7.246703989681934762e-06 1.715320950989304228e-04 -4.454570002952593609e-03
1.300130013001300211e-01 5.497592325326268181e+00 -1.852287841721624029e-02 6.427161706760673553e-06 1.138843189670480704e+00 7.319529338655296331e-06 1.715485124294876141e-04 -4.770353193866558837e-03
1.400140014001400313e-01 5.497407073344292350e+00 -1.852382244683406509e-02 6.427150679410818157e-06 1.150289904413705599e+00 7.393086540671953227e-06 1.715659990209167883e-04 -5.076841353685209064e-03
1.500150015001500137e-01 5.497221811639677824e+00 -1.852482246999939686e-02 6.427139650922349733e-06 1.161851672115582934e+00 7.467382950344495978e-06 1.715845237724972867e-04 -5.374308305150378440e-03
1.600160016001600238e-01 5.497036539660615340e+00 -1.852587684915073599e-02 6.427128621229514808e-06 1.173529649193791435e+00 7.542425996194848762e-06 1.716040565149495997e-04 -5.663019913723834481e-03
1.700170017001700340e-01 5.496851256871436497e+00 -1.852698399539213017e-02 6.427117590268468272e-06 1.185325003689369439e+00 7.618223181396983470e-06 1.716245679827580709e-04 -5.943234307776402818e-03
1.800180018001800164e-01 5.496665962752139478e+00 -1.852814236707798351e-02 6.427106557977221714e-06 1.197238915383542324e+00 7.694782084527100366e-06 1.716460297873550805e-04 -6.215202092917419818e-03
1.900190019001900266e-01 5.496480656797934294e+00 -1.852935046843542932e-02 6.427095524295584126e-06 1.209272575915725456e+00 7.772110360321351575e-06 1.716684143910541421e-04 -6.479166561311274983e-03
2.000200020002000367e-01 5.496295338518796036e+00 -1.853060684821843454e-02 6.427084489165115317e-06 1.221427188902713956e+00 7.850215740441181933e-06 1.716916950816199672e-04 -6.735363896905810326e-03
2.100210021002100191e-01 5.496110007439027889e+00 -1.853191009838772024e-02 6.427073452529067466e-06 1.233703970059067734e+00 7.929106034246349898e-06 1.717158459473623903e-04 -6.984023377418786989e-03
2.200220022002200293e-01 5.495924663096827700e+00 -1.853325885281069743e-02 6.427062414332341082e-06 1.246104147318709776e+00 8.008789129575729287e-06 1.717408418526430492e-04 -7.225367574008901075e-03
2.300230023002300395e-01 5.495739305043865208e+00 -1.853465178597542978e-02 6.427051374521422316e-06 1.258628960957744569e+00 8.089272993535941004e-06 1.717666584136810879e-04 -7.459612549529495706e-03
2.400240024002400219e-01 5.495553932844853051e+00 -1.853608761171291267e-02 6.427040333044349084e-06 1.271279663718511310e+00 8.170565673297928229e-06 1.717932719745484597e-04 -7.686968056250177012e-03
2.500250025002500598e-01 5.495368546077128435e+00 -1.853756508192163505e-02 6.427029289850642460e-06 1.284057520934884788e+00 8.252675296901508973e-06 1.718206595832401493e-04 -7.907637733940108687e-03
2.600260026002600422e-01 5.495183144330225034e+00 -1.853908298528868931e-02 6.427018244891271940e-06 1.296963810658834371e+00 8.335610074068038118e-06 1.718487989677102952e-04 -8.121819309274042747e-03
2.700270027002700246e-01 5.494997727205451099e+00 -1.854064014600145804e-02 6.427007198118595310e-06 1.309999823788256856e+00 8.419378297021217923e-06 1.718776685117604831e-04 -8.329704797383494577e-03
