# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 5.4000000000000004e+00 -2.0111120035904199e-02 6.4211377190527477e-06 1.0000000000000000e+00 6.4211377190527477e-06 2.0222857454927365e-04 -4.4639862608377866e-05
1.0001000100010001e-02 5.3997988685205724e+00 -2.0111169688877224e-02 6.4211247323705055e-06 1.0100511772358554e+00 6.4856645951090962e-06 2.0222957312740700e-04 -2.8665794534300673e-04
2.0002000200020003e-02 5.3995977360553189e+00 -2.0111316697567223e-02 6.4211117455872225e-06 1.0202033806355373e+00 6.5508399102866404e-06 2.0223252965492311e-04 -7.6357744091579821e-04
3.0003000300030003e-02 5.3993966016449582e+00 -2.0111558201932288e-02 6.4210987585790217e-06 1.0304576256309239e+00 6.6166701807070120e-06 2.0223738665485494e-04 -1.2264731138326883e-03
4.0004000400040006e-02 5.3991954643583844e+00 -2.0111891426927847e-02 6.4210857712256567e-06 1.0408149378601792e+00 6.6831619879731130e-06 2.0224408838426692e-04 -1.6757555617405624e-03
5.0005000500050009e-02 5.3989943232918325e+00 -2.0112313679981359e-02 6.4210727834104149e-06 1.0512763532703375e+00 6.7503219798271164e-06 2.0225258078098265e-04 -2.1118237488049773e-03
6.0006000600060005e-02 5.3987931775680824e+00 -2.0112822348600418e-02 6.4210597950200003e-06 1.0618429182209215e+00 6.8181568708150691e-06 2.0226281141318023e-04 -2.5350648274208862e-03
7.0007000700070016e-02 5.3985920263356029e+00 -2.0113414897793332e-02 6.4210468059444310e-06 1.0725156895885979e+00 6.8866734429581557e-06 2.0227472942538740e-04 -2.9458547154522555e-03
8.0008000800080012e-02 5.3983908687678452e+00 -2.0114088867925890e-02 6.4210338160769409e-06 1.0832957348728884e+00 6.9558785464307371e-06 2.0228828549341009e-04 -3.3445591874398340e-03
9.0009000900090008e-02 5.3981897040625340e+00 -2.0114841872596243e-02 6.4210208253138940e-06 1.0941841323029422e+00 7.0257791002452047e-06 2.0230343177977557e-04 -3.7315335270278077e-03
1.0001000100010002e-01 5.3979885314409177e+00 -2.0115671596366309e-02 6.4210078335546778e-06 1.1051819709453796e+00 7.0963820929436805e-06 2.0232012188642915e-04 -4.1071223817729435e-03
