# f_hz  Omega_gw
7.060171741324297292e-20 2.189287919935901254e-23
7.467582418478953588e-20 2.286143682960066609e-23
7.898502928813456174e-20 2.518127368423197841e-23
8.354289918795686842e-20 3.133099368701272876e-23
8.836378320844166088e-20 3.957332671466363703e-23
9.346285870857187196e-20 4.766782736244348410e-23
9.885617886428316466e-20 5.662615068648435281e-23
1.045607232079119404e-19 6.286418476662199496e-23
1.105944510840450933e-19 6.831922642447171827e-23
1.169763581900677917e-19 7.286812075478385746e-23
1.237265363794104846e-19 7.687489776062480351e-23
1.308662369157715050e-19 7.997846253739167195e-23
1.384179373774567634e-19 8.222097062237664602e-23
1.464054124224650293e-19 8.377223686808419834e-23
1.548538086371091843e-19 8.481487329264908459e-23
1.637897237038136486e-19 8.537522717419272167e-23
1.732412901373276309e-19 8.558260802558624641e-23
1.832382638529777536e-19 8.556583422685276645e-23
1.938121178457958556e-19 8.543334971629439706e-23
2.049961412754470634e-19 8.521682652804482591e-23
2.168255442689010749e-19 8.497251055555664819e-23
2.293375687707937253e-19 8.470939593018735232e-23
2.425716057904631179e-19 8.443299296407764249e-23
2.565693194147843423e-19 8.414700198758922842e-23
2.713747779772242889e-19 8.385402643000209345e-23
2.870345927960713046e-19 8.355595260756769686e-23
3.035980649186235081e-19 8.325417527786923799e-23
3.211173403333227378e-19 8.294974078311549409e-23
3.396475741384796307e-19 8.264344250189335714e-23
3.592471041844354757e-19 8.233588730678030626e-23
3.799776347358316262e-19 8.202845103583335359e-23
4.019044307322004732e-19 8.171948888523691372e-23
4.250965232584580461e-19 8.141041967619625988e-23
4.496269268721713555e-19 8.110145394842443177e-23
4.755728694718048592e-19 8.079275634177864837e-23
5.030160354296266484e-19 8.048445591766465158e-23
5.320428227547171570e-19 8.017665408576272618e-23
5.627446150956943479e-19 7.986943037137157297e-23
5.952180694394924427e-19 7.956284739616796237e-23
6.295654204119405569e-19 7.925695436442917594e-23
6.658948021381523372e-19 7.895179002645745036e-23
7.043205886760280627e-19 7.864738462063830381e-23
7.449637540946411354e-19 7.834381804095692867e-23
7.879522533311251914e-19 7.804098484703257097e-23
8.334214250250922760e-19 7.773896940968402976e-23
8.815144175988085877e-19 7.743778237782057646e-23
9.323826399245378053e-19 7.713743180181135828e-23
9.861862379978678317e-19 7.683792368162807657e-23
1.043094599117699212e-18 7.653926279941964704e-23
1.103286885160190448e-18 7.624145252957505842e-23
1.166952596625538222e-18 7.594449513149010297e-23
1.234292169233358084e-18 7.564839201193487087e-23
1.305517604944887401e-18 7.535314397475598653e-23
1.380853139398636169e-18 7.505875608235023411e-23
1.460535947860742677e-18 7.476521816196896570e-23
1.544816891912542156e-18 7.447253536361840658e-23
1.633961309226105375e-18 7.418070700368195299e-23
1.728249848914156640e-18 7.388973232684300616e-23
1.827979355084280148e-18 7.359961028718842278e-23
1.933463801379053998e-18 7.331033953685969302e-23
2.045035279444274531e-18 7.302191870070596133e-23
2.163045044437225001e-18 7.273434665077864938e-23
2.287864620866519953e-18 7.244762207887322096e-23
2.419886972244979755e-18 7.216174354464082567e-23
2.559527738237894843e-18 7.187670944266273747e-23
2.707226543201529416e-18 7.159251842404196780e-23
2.863448380231500372e-18 7.130916836903266404e-23
3.028685075078341667e-18 7.102665809086305293e-23
3.203456834539027579e-18 7.074498598820684498e-23
3.388313884199189237e-18 7.046415050007657908e-23
3.583838200682055901e-18 7.018414993717652944e-23
3.790645343857683212e-18 6.990498272706205592e-23
4.009386394780690982e-18 6.962664728298203509e-23
4.240750005457655158e-18 6.934914192940114854e-23
4.485464566897346997e-18 6.907246502737909783e-23
4.744300502269374101e-18 6.879661491494701541e-23
5.018072692390656082e-18 6.852159018181012655e-23
5.307643041175780528e-18 6.824738911297632841e-23
5.613923189127956977e-18 6.797400991120562432e-23
5.937877383413291567e-18 6.770145089807670444e-23
