# MPBH  fPBH
1.202180280913877533e+21 0.000000000000000000e+00
1.074583287970053751e+21 0.000000000000000000e+00
9.605291827834052936e+20 0.000000000000000000e+00
8.585805505326929674e+20 0.000000000000000000e+00
7.674525407097866158e+20 0.000000000000000000e+00
6.859966742508679987e+20 0.000000000000000000e+00
6.131863693460730020e+20 0.000000000000000000e+00
5.481040035105408942e+20 0.000000000000000000e+00
4.899293488611970253e+20 0.000000000000000000e+00
4.379292348499335578e+20 0.000000000000000000e+00
3.914483081734761349e+20 0.000000000000000000e+00
3.499007734077987226e+20 0.000000000000000000e+00
3.127630102749564764e+20 0.000000000000000000e+00
2.795669744983543644e+20 0.000000000000000000e+00
2.498942990779299922e+20 0.000000000000000000e+00
2.233710216441088246e+20 0.000000000000000000e+00
1.996628714397886382e+20 0.000000000000000000e+00
1.784710565325606093e+20 0.000000000000000000e+00
1.595284981637356585e+20 0.000000000000000000e+00
1.425964647759788605e+20 0.000000000000000000e+00
1.274615632984705434e+20 0.000000000000000000e+00
1.139330497709983662e+20 0.000000000000000000e+00
1.018404254129886659e+20 0.000000000000000000e+00
9.103128784092777677e+19 0.000000000000000000e+00
8.136941035323827814e+19 0.000000000000000000e+00
7.273302507598797210e+19 0.000000000000000000e+00
6.501328833205406925e+19 0.000000000000000000e+00
5.811290889291234509e+19 0.000000000000000000e+00
5.194492182501832294e+19 0.000000000000000000e+00
4.643159247766301082e+19 0.000000000000000000e+00
4.150343679934907187e+19 0.000000000000000000e+00
3.709834563581313843e+19 0.000000000000000000e+00
3.316080197329194598e+19 0.000000000000000000e+00
2.964118126201129779e+19 0.000000000000000000e+00
2.649512600192976896e+19 0.000000000000000000e+00
2.368298670869170586e+19 0.000000000000000000e+00
2.116932221432782438e+19 0.000000000000000000e+00
1.892245300503273062e+19 0.000000000000000000e+00
1.691406196677054054e+19 0.000000000000000000e+00
1.511883750693763891e+19 0.000000000000000000e+00
1.351415455437327155e+19 0.000000000000000000e+00
1.207978941738626867e+19 0.000000000000000000e+00
1.079766490617620275e+19 0.000000000000000000e+00
9.651622507447310336e+18 0.000000000000000000e+00
8.627218739949957120e+18 0.000000000000000000e+00
7.711543124434615296e+18 0.000000000000000000e+00
6.893055473908141056e+18 0.000000000000000000e+00
6.161440453574398976e+18 0.000000000000000000e+00
5.507477577489892352e+18 0.000000000000000000e+00
4.922925003512353792e+18 0.000000000000000000e+00
4.400415662019397632e+18 0.000000000000000000e+00
3.933364409315649536e+18 0.000000000000000000e+00
3.515885035590261248e+18 0.000000000000000000e+00
3.142716081482584064e+18 0.000000000000000000e+00
2.809154528328065536e+18 0.000000000000000000e+00
2.510996526387874304e+18 0.000000000000000000e+00
2.244484414064819968e+18 0.000000000000000000e+00
2.006259360392968192e+18 0.000000000000000000e+00
1.793319033957954816e+18 0.000000000000000000e+00
1.602979764752833792e+18 0.000000000000000000e+00
1.432842722098319872e+18 0.000000000000000000e+00
1.280763682370429696e+18 0.000000000000000000e+00
1.144826005520587904e+18 0.000000000000000000e+00
1.023316479813454208e+18 0.000000000000000000e+00
9.147037303556131840e+17 0.000000000000000000e+00
8.176189192995287040e+17 0.000000000000000000e+00
7.308384944889587200e+17 0.000000000000000000e+00
6.532687691283897600e+17 0.000000000000000000e+00
5.839321381352993280e+17 0.000000000000000000e+00
5.219547574610114560e+17 0.000000000000000000e+00
4.665555311036146560e+17 0.000000000000000000e+00
4.170362670171382400e+17 0.000000000000000000e+00
3.727728778527002240e+17 0.000000000000000000e+00
3.332075156352614400e+17 0.000000000000000000e+00
2.978415412499383680e+17 0.000000000000000000e+00
2.662292401328748800e+17 0.000000000000000000e+00
2.379722049660274880e+17 0.000000000000000000e+00
2.127143145814058240e+17 0.000000000000000000e+00
1.901372457943011200e+17 0.000000000000000000e+00
1.699564616014924480e+17 0.000000000000000000e+00
1.519176251840146880e+17 0.000000000000000000e+00
1.357933945204476800e+17 0.000000000000000000e+00
1.213805572134910240e+17 0.000000000000000000e+00
1.084974694202747200e+17 0.000000000000000000e+00
9.698176660944704000e+16 0.000000000000000000e+00
8.668831729389331200e+16 0.000000000000000000e+00
7.748739395013977600e+16 0.000000000000000000e+00
6.926303807268764000e+16 0.000000000000000000e+00
6.191159875818632800e+16 0.000000000000000000e+00
5.534042640133824000e+16 0.000000000000000000e+00
4.946670503928780800e+16 0.000000000000000000e+00
4.421640862862468000e+16 0.000000000000000000e+00
3.952336810104343200e+16 0.000000000000000000e+00
3.532843743983568000e+16 0.000000000000000000e+00
3.157874826734301200e+16 0.000000000000000000e+00
2.822704354899590800e+16 0.000000000000000000e+00
2.523108201666376000e+16 0.000000000000000000e+00
2.255310580531055600e+16 0.000000000000000000e+00
2.015936459362316400e+16 0.000000000000000000e+00
1.801969025139468000e+16 0.000000000000000000e+00
1.610711663297761400e+16 0.000000000000000000e+00
1.439753972509401000e+16 0.000000000000000000e+00
1.286941386587205400e+16 0.000000000000000000e+00
1.150348020658220400e+16 0.000000000000000000e+00
1.028252399389762800e+16 0.000000000000000000e+00
9.191157613726530000e+15 0.000000000000000000e+00
8.215626662334862000e+15 0.000000000000000000e+00
7.343636600689433000e+15 0.000000000000000000e+00
6.564197807359813000e+15 0.000000000000000000e+00
5.867487077193082000e+15 0.000000000000000000e+00
5.244723820240106000e+15 0.000000000000000000e+00
4.688059400678386000e+15 0.000000000000000000e+00
4.190478221078719500e+15 0.000000000000000000e+00
3.745709305388499500e+15 0.000000000000000000e+00
3.348147266319002500e+15 0.000000000000000000e+00
2.992781661094950500e+15 0.000000000000000000e+00
2.675133845242533500e+15 0.000000000000000000e+00
2.391200528589133000e+15 0.000000000000000000e+00
2.137403322115483000e+15 0.000000000000000000e+00
1.910543639803319000e+15 0.000000000000000000e+00
1.707762387110058500e+15 0.000000000000000000e+00
1.526503928027564250e+15 0.000000000000000000e+00
1.364483876604676000e+15 0.000000000000000000e+00
1.219660307012655750e+15 0.000000000000000000e+00
1.090208019316294750e+15 0.000000000000000000e+00
9.744955366242193750e+14 0.000000000000000000e+00
8.710645437153165000e+14 0.000000000000000000e+00
7.786115080079220000e+14 0.000000000000000000e+00
6.959712512423196250e+14 0.000000000000000000e+00
6.221022648317595000e+14 0.000000000000000000e+00
5.560735838125271875e+14 0.000000000000000000e+00
4.970530539665087500e+14 0.000000000000000000e+00
4.442968442477318750e+14 0.000000000000000000e+00
3.971400723388251875e+14 0.000000000000000000e+00
3.549884251920226250e+14 0.000000000000000000e+00
3.173106689490638125e+14 0.000000000000000000e+00
2.836319538431103125e+14 0.000000000000000000e+00
2.535278297048813438e+14 0.000000000000000000e+00
2.266188966509099062e+14 0.000000000000000000e+00
2.025660235369694688e+14 0.000000000000000000e+00
1.810660739152231875e+14 0.000000000000000000e+00
1.618480856296695312e+14 0.000000000000000000e+00
1.446698559016280625e+14 0.000000000000000000e+00
1.293148888673733125e+14 0.000000000000000000e+00
1.155896670979741094e+14 0.000000000000000000e+00
1.033212127145207031e+14 0.000000000000000000e+00
9.235490736166637500e+13 0.000000000000000000e+00
8.255254356478585938e+13 0.000000000000000000e+00
7.379058291215951562e+13 0.000000000000000000e+00
6.595859911019099219e+13 0.000000000000000000e+00
5.895788628960671094e+13 0.000000000000000000e+00
5.270021502323155469e+13 0.000000000000000000e+00
4.710672037753208594e+13 0.000000000000000000e+00
4.210690798412846875e+13 0.000000000000000000e+00
3.763776560487339844e+13 0.000000000000000000e+00
3.364296899362347656e+13 0.000000000000000000e+00
3.007217204624269141e+13 0.000000000000000000e+00
2.688037229265417578e+13 0.000000000000000000e+00
2.402734373428706641e+13 0.000000000000000000e+00
2.147712987901402344e+13 0.000000000000000000e+00
1.919759058433941797e+13 0.000000000000000000e+00
1.715999699773836133e+13 0.000000000000000000e+00
1.533866948921198438e+13 0.000000000000000000e+00
1.371065401295181250e+13 0.000000000000000000e+00
1.225543281932524219e+13 0.000000000000000000e+00
1.095466587130791797e+13 0.000000000000000000e+00
9.791959706455003906e+12 0.000000000000000000e+00
8.752660831396971680e+12 0.000000000000000000e+00
7.823671045027775391e+12 0.000000000000000000e+00
6.993282362917356445e+12 0.000000000000000000e+00
6.251029462514595703e+12 0.000000000000000000e+00
5.587557789519135742e+12 0.000000000000000000e+00
4.994505663177068359e+12 0.000000000000000000e+00
4.464398894683210938e+12 0.000000000000000000e+00
3.990556590573668945e+12 0.000000000000000000e+00
3.567006953956535156e+12 0.000000000000000000e+00
3.188412022430480469e+12 0.000000000000000000e+00
2.850000394168870605e+12 0.000000000000000000e+00
2.547507094321847656e+12 0.000000000000000000e+00
2.277119823877340332e+12 0.000000000000000000e+00
2.035430913559626465e+12 0.000000000000000000e+00
1.819394377244393799e+12 0.000000000000000000e+00
1.626287523637709717e+12 0.000000000000000000e+00
1.453676642414068848e+12 0.000000000000000000e+00
1.299386332358652344e+12 0.000000000000000000e+00
1.161472084958727295e+12 0.000000000000000000e+00
1.038195777917434448e+12 0.000000000000000000e+00
9.280037697366550293e+11 0.000000000000000000e+00
8.295073192966960449e+11 0.000000000000000000e+00
7.414650836623774414e+11 0.000000000000000000e+00
6.627674735366842041e+11 0.000000000000000000e+00
5.924226691950512695e+11 0.000000000000000000e+00
5.295441206602351074e+11 0.000000000000000000e+00
4.733393745834126587e+11 0.000000000000000000e+00
4.231000870176235352e+11 0.000000000000000000e+00
3.781930962153142700e+11 0.000000000000000000e+00
3.380524429411608276e+11 0.000000000000000000e+00
3.021722377328242798e+11 0.000000000000000000e+00
2.701002852162654419e+11 0.000000000000000000e+00
2.414323851233894653e+11 0.000000000000000000e+00
2.158072381882048035e+11 0.000000000000000000e+00
1.929018927208895264e+11 0.000000000000000000e+00
1.724276744733180237e+11 0.000000000000000000e+00
1.541265485004597168e+11 0.000000000000000000e+00
1.377678671664760132e+11 0.000000000000000000e+00
1.231454633109050446e+11 0.000000000000000000e+00
1.100750519403241119e+11 0.000000000000000000e+00
9.839190769922608948e+10 0.000000000000000000e+00
8.794878884946109009e+10 0.000000000000000000e+00
7.861408159431317139e+10 0.000000000000000000e+00
7.027014136028321838e+10 0.000000000000000000e+00
6.281181013188107300e+10 0.000000000000000000e+00
5.614509115351464081e+10 0.000000000000000000e+00
5.018596429585279846e+10 0.000000000000000000e+00
4.485932715681339264e+10 0.000000000000000000e+00
4.009804855195940399e+10 0.000000000000000000e+00
3.584212246551913452e+10 0.000000000000000000e+00
3.203791179933856964e+10 0.000000000000000000e+00
2.863747238879737091e+10 0.000000000000000000e+00
2.559794876631335068e+10 0.000000000000000000e+00
2.288103405729091263e+10 0.000000000000000000e+00
2.045248720162618637e+10 0.000000000000000000e+00
1.828170141634810638e+10 0.000000000000000000e+00
1.634131846076544571e+10 0.000000000000000000e+00
1.460688384273460960e+10 0.000000000000000000e+00
1.305653862063877106e+10 0.000000000000000000e+00
1.167074391688438988e+10 0.000000000000000000e+00
1.043203467098011398e+10 0.000000000000000000e+00
9.324799528767587662e+09 0.000000000000000000e+00
8.335084093766229630e+09 0.000000000000000000e+00
7.450415061023530960e+09 0.000000000000000000e+00
6.659643017044145584e+09 0.000000000000000000e+00
5.952801924618139267e+09 0.000000000000000000e+00
5.320983521646103859e+09 0.000000000000000000e+00
4.756225051020083427e+09 0.000000000000000000e+00
4.251408906628757000e+09 0.000000000000000000e+00
3.800172930733324051e+09 0.000000000000000000e+00
3.396830232199387074e+09 0.000000000000000000e+00
3.036297515059978962e+09 0.000000000000000000e+00
2.714031014140545368e+09 0.000000000000000000e+00
2.425969230347721100e+09 0.000000000000000000e+00
2.168481743919063568e+09 0.000000000000000000e+00
1.938323460531388521e+09 0.000000000000000000e+00
1.732593713634981871e+09 0.000000000000000000e+00
1.548699707583626747e+09 0.000000000000000000e+00
1.384323840837226391e+09 0.000000000000000000e+00
1.237394497413798571e+09 0.000000000000000000e+00
1.106059938477919340e+09 0.000000000000000000e+00
9.886649650234154463e+08 0.000000000000000000e+00
8.837300575318361521e+08 0.000000000000000000e+00
7.899327297055840492e+08 0.000000000000000000e+00
7.060908612782348394e+08 0.000000000000000000e+00
6.311477998467758894e+08 0.000000000000000000e+00
5.641590439653871059e+08 0.000000000000000000e+00
5.042803396687890291e+08 0.000000000000000000e+00
4.507570404066236615e+08 0.000000000000000000e+00
4.029145962929831743e+08 0.000000000000000000e+00
3.601500528078098297e+08 0.000000000000000000e+00
3.219244518090126514e+08 0.000000000000000000e+00
2.877560390858462453e+08 0.000000000000000000e+00
2.572141928488843143e+08 0.000000000000000000e+00
2.299139966378456056e+08 0.000000000000000000e+00
2.055113882500392497e+08 0.000000000000000000e+00
1.836988235517714322e+08 0.000000000000000000e+00
1.642014005240822434e+08 0.000000000000000000e+00
1.467733946944489479e+08 0.000000000000000000e+00
1.311951622907931060e+08 0.000000000000000000e+00
1.172703720884816796e+08 0.000000000000000000e+00
1.048235310635076910e+08 0.000000000000000000e+00
9.369777266786219180e+07 0.000000000000000000e+00
8.375287985289737582e+07 0.000000000000000000e+00
7.486351792500808835e+07 0.000000000000000000e+00
6.691765496245346963e+07 0.000000000000000000e+00
5.981514988595148176e+07 0.000000000000000000e+00
5.346649038861750811e+07 0.000000000000000000e+00
4.779166481947649270e+07 0.000000000000000000e+00
4.271915380298511684e+07 0.000000000000000000e+00
3.818502888602843136e+07 0.000000000000000000e+00
3.413214685270620883e+07 0.000000000000000000e+00
3.050942955292519927e+07 0.000000000000000000e+00
2.727122016853456199e+07 0.000000000000000000e+00
2.437670780407560244e+07 0.000000000000000000e+00
2.178941315031051263e+07 0.000000000000000000e+00
1.947672873838801682e+07 0.000000000000000000e+00
1.740950799050511420e+07 0.000000000000000000e+00
1.556169788790448382e+07 0.000000000000000000e+00
1.391001062674981542e+07 0.000000000000000000e+00
1.243363012378508598e+07 0.000000000000000000e+00
1.111394967289240099e+07 0.000000000000000000e+00
9.934337446253610775e+06 0.000000000000000000e+00
8.879926884746493772e+06 0.000000000000000000e+00
7.937429335881941952e+06 0.000000000000000000e+00
7.094966577972853556e+06 0.000000000000000000e+00
6.341921119850652292e+06 0.000000000000000000e+00
5.668802389467972331e+06 0.000000000000000000e+00
5.067127124973515980e+06 0.000000000000000000e+00
4.529312460837447084e+06 0.000000000000000000e+00
4.048580361599787138e+06 0.000000000000000000e+00
3.618872198828351684e+06 0.000000000000000000e+00
3.234772394706239924e+06 0.000000000000000000e+00
2.891440169935056940e+06 0.000000000000000000e+00
2.584548535778297577e+06 0.000000000000000000e+00
2.310229761366219260e+06 0.000000000000000000e+00
2.065026628991121892e+06 0.000000000000000000e+00
1.845848863067456987e+06 0.000000000000000000e+00
1.649934183634234127e+06 0.000000000000000000e+00
1.474813493560269708e+06 0.000000000000000000e+00
1.318279760709314607e+06 0.000000000000000000e+00
1.178360202889465494e+06 0.000000000000000000e+00
1.053291425036053639e+06 0.000000000000000000e+00
9.414971952838033903e+05 0.000000000000000000e+00
8.415685798419207567e+05 0.000000000000000000e+00
7.522461863135530148e+05 0.000000000000000000e+00
6.724042916735053295e+05 0.000000000000000000e+00
6.010366548704464221e+05 0.000000000000000000e+00
5.372438352509277174e+05 0.000000000000000000e+00
4.802218569803191349e+05 0.000000000000000000e+00
4.292520765992869856e+05 0.000000000000000000e+00
3.836921260173969786e+05 0.000000000000000000e+00
3.429678167991276132e+05 0.000000000000000000e+00
3.065659037126727635e+05 0.000000000000000000e+00
2.740276163410758600e+05 0.000000000000000000e+00
2.449428772351364023e+05 0.000000000000000000e+00
2.189451337399164622e+05 0.000000000000000000e+00
1.957067383607644879e+05 0.000000000000000000e+00
1.749348194479919330e+05 0.000000000000000000e+00
1.563675901587495755e+05 0.000000000000000000e+00
1.397710491782558092e+05 0.000000000000000000e+00
1.249360316198315704e+05 0.000000000000000000e+00
1.116755729364583967e+05 0.000000000000000000e+00
9.982255262145289453e+04 0.000000000000000000e+00
8.922758800201072881e+04 0.000000000000000000e+00
7.975715158125046582e+04 0.000000000000000000e+00
7.129188820178760216e+04 0.000000000000000000e+00
6.372511082217532385e+04 0.000000000000000000e+00
5.696145594859794073e+04 0.000000000000000000e+00
5.091568177634332096e+04 0.000000000000000000e+00
4.551159389411059965e+04 0.000000000000000000e+00
4.068108501190308016e+04 0.000000000000000000e+00
3.636327661026739224e+04 0.000000000000000000e+00
3.250375169314961022e+04 0.000000000000000000e+00
2.905386897482245695e+04 0.000000000000000000e+00
2.597014985762571087e+04 0.000000000000000000e+00
2.321373047465713898e+04 0.000000000000000000e+00
2.074987189154771841e+04 0.000000000000000000e+00
1.854752229443214310e+04 0.000000000000000000e+00
1.657892564640769342e+04 0.000000000000000000e+00
1.481927188040790497e+04 0.000000000000000000e+00
1.324638421989868220e+04 0.000000000000000000e+00
1.184043968672701158e+04 0.000000000000000000e+00
1.058371927370332014e+04 0.000000000000000000e+00
9.460384633361700253e+03 0.000000000000000000e+00
8.456278468526554207e+03 0.000000000000000000e+00
7.558746109021107259e+03 0.000000000000000000e+00
6.756476025865379597e+03 0.000000000000000000e+00
6.039357272975778869e+03 0.000000000000000000e+00
5.398352059714961797e+03 0.000000000000000000e+00
4.825381848335287032e+03 0.000000000000000000e+00
4.313225540809411541e+03 0.000000000000000000e+00
3.855428471906046980e+03 0.000000000000000000e+00
3.446221061557217126e+03 0.000000000000000000e+00
3.080446101299106431e+03 0.000000000000000000e+00
2.753493758383857312e+03 0.000000000000000000e+00
2.461243478423953547e+03 0.000000000000000000e+00
2.200012054372688453e+03 0.000000000000000000e+00
1.966507207358617279e+03 0.000000000000000000e+00
1.757786094356695685e+03 0.000000000000000000e+00
