# k  Ps  Pt
4.566734632163193700e-05 2.638838452977211085e-09 8.352941313814984630e-12
4.830260296558184163e-05 2.633939661743936035e-09 8.352750173027124991e-12
5.108992838818535734e-05 2.629045155000221851e-09 8.352557897871193042e-12
5.403809779298632818e-05 2.624155304957481093e-09 8.352365716907504900e-12
5.715639276095837930e-05 2.619269653793734928e-09 8.352172127457023645e-12
6.045463047126252578e-05 2.614388940392568688e-09 8.351979528363037126e-12
6.394319460820385411e-05 2.609512533069477744e-09 8.351785869141364005e-12
6.763306805168948133e-05 2.604640486568313971e-09 8.351591320432420857e-12
7.153586745410419234e-05 2.599773220900792119e-09 8.351397253752478359e-12
7.566387981246299323e-05 2.594910424207294019e-09 8.351202650207654760e-12
8.003010115097703033e-05 2.590051949754183394e-09 8.351007036242569836e-12
8.464827743581597246e-05 2.585198259484549256e-09 8.350811908750521480e-12
8.953294785087758897e-05 2.580349176134142202e-09 8.350616699831532560e-12
9.469949057080531457e-05 2.575504356500594254e-09 8.350420264838260692e-12
1.001641711753616982e-04 2.570664093753880981e-09 8.350223592460166720e-12
1.059441938575767477e-04 2.565828445427792605e-09 8.350026836833333126e-12
1.120577555868872079e-04 2.560997238513414842e-09 8.349829452979161114e-12
1.185241033977863781e-04 2.556170477044981988e-09 8.349631444401337344e-12
1.253635949843440189e-04 2.551348618031565264e-09 8.349434324063621419e-12
1.325977627913629017e-04 2.546530938383142259e-09 8.349235683560047471e-12
1.402493818039463470e-04 2.541717780000996983e-09 8.349036674756512677e-12
1.483425412488963255e-04 2.536909304447313676e-09 8.348837818306943353e-12
1.569027204336760097e-04 2.532105274428297428e-09 8.348638336104317001e-12
1.659568689616975007e-04 2.527305704672040080e-09 8.348438263791217753e-12
1.755334915764710586e-04 2.522510888167047837e-09 8.348238591172352715e-12
1.856627379017278788e-04 2.517720412137417160e-09 8.348037926183583631e-12
1.963764973600410691e-04 2.512934237362363591e-09 8.347836131063097661e-12
2.077084995687727943e-04 2.508152947841597486e-09 8.347635181915966430e-12
2.196944205294175910e-04 2.503376114311172227e-09 8.347433601955873974e-12
2.323719949446542406e-04 2.498603694784843348e-09 8.347231310617622599e-12
2.457811350167086800e-04 2.493835868797672869e-09 8.347028847044762733e-12
2.599640561010352281e-04 2.489072664800739376e-09 8.346826346791853303e-12
2.749654096109042847e-04 2.484313660702367996e-09 8.346622350831509553e-12
2.908324235913139176e-04 2.479559533917570645e-09 8.346419187793957925e-12
3.076150514047896740e-04 2.474809740090812166e-09 8.346214975108261181e-12
3.253661289971711821e-04 2.470064512978339151e-09 8.346010522446959342e-12
3.441415412384974987e-04 2.465323822900869448e-09 8.345805727792605686e-12
3.640003978626741871e-04 2.460587540532087114e-09 8.345600150556305203e-12
3.850052195598269210e-04 2.455855978320454968e-09 8.345394855861761914e-12
4.072221348072060324e-04 2.451128846769734843e-09 8.345188846524554258e-12
4.307210880583132572e-04 2.446406210906188670e-09 8.344982343348355538e-12
4.555760599456843384e-04 2.441688169487956163e-09 8.344775690406499260e-12
4.818653001905828358e-04 2.436974531035601412e-09 8.344568227494222622e-12
5.096715739528622944e-04 2.432265527138927493e-09 8.344360755639461172e-12
5.390824223965668066e-04 2.427561056574551206e-09 8.344152903548136511e-12
5.701904382915967424e-04 2.422861152600286097e-09 8.343944816992371901e-12
6.030935575191059351e-04 2.418165668940850729e-09 8.343735962417407793e-12
6.378953673983620357e-04 2.413474486140117890e-09 8.343525920900686111e-12
6.747054328057562394e-04 2.408788221570280222e-09 8.343316861516144838e-12
7.136396411126717017e-04 2.404106353379500116e-09 8.343106943648079103e-12
7.548205670281618509e-04 2.399428949758997963e-09 8.342896419575628514e-12
7.983778584950569071e-04 2.394755956122750839e-09 8.342685085919230242e-12
8.444486448543902938e-04 2.390087645169423669e-09 8.342473900121065965e-12
8.931779685631540408e-04 2.385424000747693366e-09 8.342262807265781268e-12
9.447192418245423844e-04 2.380764718582391403e-09 8.342050742618364625e-12
9.992347295682678810e-04 2.376109950881352218e-09 8.341838224907671731e-12
1.056896060301491108e-03 2.371459724835191618e-09 8.341625354719331978e-12
1.117884766438652323e-03 2.366813943612164759e-09 8.341411786650068607e-12
1.182392855811306579e-03 2.362172948681113072e-09 8.341198745623703354e-12
1.250623416157214778e-03 2.357536220995986486e-09 8.340984347124883319e-12
1.322791254491768832e-03 2.352903946326038876e-09 8.340769309184685771e-12
1.399123573374660414e-03 2.348276568823282953e-09 8.340555175906935886e-12
1.479860686200853677e-03 2.343653391112023847e-09 8.340339451029257512e-12
1.565256773767774792e-03 2.339034802317296252e-09 8.340123546412649191e-12
1.655580684500578643e-03 2.334420733853845677e-09 8.339907191146595585e-12
1.751116780854805556e-03 2.329811124964891755e-09 8.339690184026291860e-12
1.852165834561125520e-03 2.325206298642390375e-09 8.339473686212242067e-12
1.959045973530621973e-03 2.320605902384289643e-09 8.339256418905952125e-12
2.072093683401699492e-03 2.316009910523712407e-09 8.339038287429009283e-12
2.191664866881752431e-03 2.311418501551944068e-09 8.338819943035836546e-12
2.318135964218664795e-03 2.306831484119735364e-09 8.338600680763924985e-12
2.451905138329678324e-03 2.302249238338993942e-09 8.338381888833843821e-12
2.593393528318687236e-03 2.297671392583250493e-09 8.338162208841787835e-12
2.743046575328366831e-03 2.293098088453639449e-09 8.337942153847890670e-12
2.901335424901259254e-03 2.288529360363465848e-09 8.337721857782076830e-12
3.068758410264795650e-03 2.283964858726001834e-09 8.337500017066299891e-12
3.245842621209997156e-03 2.279405377314093872e-09 8.337279574237948098e-12
3.433145563503092138e-03 2.274850085387824999e-09 8.337057446371686710e-12
3.631256914054305576e-03 2.270299414970938134e-09 8.336835239028222164e-12
3.840800377369528538e-03 2.265753084634204137e-09 8.336611898668146563e-12
4.062435649129427818e-03 2.261211679133400436e-09 8.336389611231516877e-12
4.296860493077853289e-03 2.256674561164627982e-09 8.336165993085576786e-12
4.544812937758120792e-03 2.252141930970426535e-09 8.335941789061561035e-12
4.807073600013049043e-03 2.247613717441263479e-09 8.335716718970672917e-12
5.084468142563685657e-03 2.243090285154882418e-09 8.335492173427654158e-12
5.377869873403817551e-03 2.238571311210099784e-09 8.335266930665286634e-12
5.688202495193844972e-03 2.234056872903468420e-09 8.335041267805018165e-12
6.016443013309767142e-03 2.229546819554117719e-09 8.334814621639701494e-12
6.363624811702556748e-03 2.225041255339642746e-09 8.334587383671632872e-12
6.730840906251497543e-03 2.220540505753018434e-09 8.334360798939585655e-12
7.119247385853898734e-03 2.216044101217965337e-09 8.334133055561750691e-12
7.530067052084588042e-03 2.211552109981727135e-09 8.333904438813959438e-12
7.964593268883712884e-03 2.207064897790237801e-09 8.333676320724109935e-12
8.424194034392665231e-03 2.202582107903450093e-09 8.333447352173996938e-12
8.910316287757324635e-03 2.198103822497407727e-09 8.333217856942903191e-12
9.424490464457506086e-03 2.193630039614778861e-09 8.332987783859529610e-12
9.968335314503888253e-03 2.189160856576817282e-09 8.332757544380395763e-12
