# k_modes P_scalar P_tensor
4.5667357242231052e-05 2.6343317027993087e-09 8.3417269029796343e-12
4.8634173294769331e-05 2.6283456343279063e-09 8.3398741967623558e-12
5.1793730903227099e-05 2.6223913359831343e-09 8.3380982508255355e-12
5.5158551675523558e-05 2.6164668268394507e-09 8.3363928449970346e-12
5.8741970695759171e-05 2.6105721672207401e-09 8.3347586783737546e-12
6.2558189372340447e-05 2.6047054517737718e-09 8.3331898499732086e-12
6.6622331719424986e-05 2.5988661875564943e-09 8.3316864027885514e-12
7.0950504294735382e-05 2.5930531348438120e-09 8.3302437016495811e-12
7.5559860031279929e-05 2.5872647129357944e-09 8.3288575653277601e-12
8.0468666215953189e-05 2.5815022275632926e-09 8.3275324148894876e-12
8.5696376884418640e-05 2.5757635351133104e-09 8.3262617819505223e-12
9.1263709919183115e-05 2.5700465258458567e-09 8.3250394877429002e-12
9.7192729156408443e-05 2.5643526182556459e-09 8.3238698885108180e-12
1.0350693182685730e-04 2.5586799361363782e-09 8.3227479295255575e-12
1.1023134167750937e-04 2.5530261719461987e-09 8.3216658385057943e-12
1.1739260814289701e-04 2.5473939479920326e-09 8.3206325036597605e-12
1.2501911195918544e-04 2.5417806225438783e-09 8.3196399874358073e-12
1.3314107763955546e-04 2.5361862923797564e-09 8.3186888471009914e-12
1.4179069325663776e-04 2.5306087563457192e-09 8.3177715769561146e-12
1.5100223800670949e-04 2.5250480449267105e-09 8.3168891343082683e-12
1.6081221806119852e-04 2.5195045312982876e-09 8.3160425319623057e-12
1.7125951124388896e-04 2.5139760439302666e-09 8.3152250480307413e-12
1.8238552110719621e-04 2.5084638530067273e-09 8.3144412179616839e-12
1.9423434101812815e-04 2.5029669290602073e-09 8.3136874714437454e-12
2.0685292890422285e-04 2.4974820890502481e-09 8.3129536051368034e-12
2.2029129335199280e-04 2.4920137463410641e-09 8.3122543641021006e-12
2.3460269179540274e-04 2.4865572424253832e-09 8.3115745783334378e-12
2.4984384157981904e-04 2.4811147474258108e-09 8.3109214368061998e-12
2.6607514473789561e-04 2.4756840568963234e-09 8.3102879109785137e-12
2.8336092736820379e-04 2.4702655261751980e-09 8.3096751597831085e-12
3.0176969456528416e-04 2.4648591579204043e-09 8.3090832376018283e-12
3.2137440191143054e-04 2.4594645482304190e-09 8.3085111191597389e-12
3.4225274460615530e-04 2.4540806413949374e-09 8.3079552139070521e-12
3.6448746537917669e-04 2.4487081595727666e-09 8.3074180506890760e-12
3.8816668240721907e-04 2.4433439591038245e-09 8.3068891230556569e-12
4.1338423853418761e-04 2.4379922321619407e-09 8.3063827090342897e-12
4.4024007317870675e-04 2.4326502496059117e-09 8.3058895814087300e-12
4.6884061840293052e-04 2.4273172330323363e-09 8.3054071638500826e-12
4.9929922071227303e-04 2.4219942196338411e-09 8.3049392254214521e-12
5.3173659025769439e-04 2.4166802493623323e-09 8.3044822478837463e-12
5.6628127922076930e-04 2.4113747503293374e-09 8.3040345686863306e-12
6.0307019127742005e-04 2.4060787761753906e-09 8.3035996951325220e-12
6.4224912415936509e-04 2.4007893041824954e-09 8.3031673213277415e-12
6.8397334746350224e-04 2.3955118943499489e-09 8.3027567157347570e-12
7.2840821799913648e-04 2.3902405396295729e-09 8.3023470848607975e-12
7.7572983511172463e-04 2.3849769484897556e-09 8.3019444137583184e-12
8.2612573858025428e-04 2.3797218264684357e-09 8.3015511596481347e-12
8.7979565185407175e-04 2.3744753620176278e-09 8.3011680103758777e-12
9.3695227357467920e-04 2.3692351288932820e-09 8.3007865593913772e-12
9.9782212051938027e-04 2.3640038397069173e-09 8.3004162377739500e-12
1.0626464253074201e-03 2.3587783822671067e-09 8.3000462096741186e-12
1.1316820924263183e-03 2.3535612995426542e-09 8.2996853636333524e-12
1.2052027163672119e-03 2.3483506520815490e-09 8.2993269508474003e-12
1.2834996659041652e-03 2.3431481202126297e-09 8.2989768598336625e-12
1.3668832388145462e-03 2.3379520023721621e-09 8.2986291065402506e-12
1.4556838916167268e-03 2.3327635699694432e-09 8.2982881900305401e-12
1.5502535491986680e-03 2.3275809796204281e-09 8.2979475659244377e-12
1.6509669995275564e-03 2.3224068343310819e-09 8.2976165188971951e-12
1.7582233789678750e-03 2.3172375371078328e-09 8.2972821937495450e-12
1.8724477540943201e-03 2.3120756235356484e-09 8.2969536591039456e-12
1.9940928062684620e-03 2.3069204153033487e-09 8.2966284753890199e-12
2.1236406256552477e-03 2.3017722805755103e-09 8.2963079603112630e-12
2.2616046217892316e-03 2.2966302218526008e-09 8.2959885077965836e-12
2.4085315582622309e-03 2.2914937661863433e-09 8.2956684389535799e-12
2.5650037195960916e-03 2.2863644865506820e-09 8.2953533804602129e-12
2.7316412188880539e-03 2.2812409022963379e-09 8.2950379680554688e-12
2.9091044553741330e-03 2.2761235602313247e-09 8.2947241926592709e-12
3.0980967316500472e-03 2.2710135380746846e-09 8.2944159140254121e-12
3.2993670409219812e-03 2.2659086526097632e-09 8.2941052195899029e-12
3.5137130353333056e-03 2.2608096123242434e-09 8.2937946327996526e-12
3.7419841871309781e-03 2.2557177299994852e-09 8.2934889385304968e-12
3.9850851551996571e-03 2.2506317445744945e-09 8.2931835454147493e-12
4.2439793703053421e-03 2.2455512719923377e-09 8.2928769707141789e-12
4.5196928532572249e-03 2.2404774905613478e-09 8.2925735483069185e-12
4.8133182811194259e-03 2.2354081834145213e-09 8.2922650712586614e-12
5.1260193175874475e-03 2.2303464003683646e-09 8.2919627972795017e-12
5.4590352246909161e-03 2.2252893011028361e-09 8.2916561795513303e-12
5.8136857740992724e-03 2.2202388732616570e-09 8.2913525751938907e-12
6.1913764774943194e-03 2.2151938599444700e-09 8.2910473171702322e-12
6.5936041567380733e-03 2.2101543944580702e-09 8.2907408635043624e-12
7.0219628759109797e-03 2.2051203330662356e-09 8.2904326595809234e-12
7.4781502587296994e-03 2.2000927363935142e-09 8.2901266979352975e-12
