# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 5.700000000000000178e+00 -1.570074511235469705e-02 6.438231841809679881e-06 1.000000000000000000e+00 6.438231841809679881e-06 1.232566985415649513e-04 1.232566985411230034e-04
1.000100010001000149e-02 5.699842976745682854e+00 -1.570077529780024989e-02 6.438223905458727884e-06 1.010051177235855357e+00 6.502935635016614356e-06 1.232571724760072609e-04 -2.593090246783899132e-04
2.000200020002000298e-02 5.699685952892060037e+00 -1.570086466696660882e-02 6.438215969056976781e-06 1.020203380635537282e+00 6.568289696893629253e-06 1.232585756452002400e-04 -6.306137901657019951e-04
3.000300030003000273e-02 5.699528927855984861e+00 -1.570101147880183234e-02 6.438208032545480700e-06 1.030457625630923912e+00 6.634300562534758451e-06 1.232608807287334420e-04 -9.909878418379583151e-04
4.000400040004000596e-02 5.699371901071462965e+00 -1.570121404393377829e-02 6.438200095867023415e-06 1.040814937860179201e+00 6.700974832711235839e-06 1.232640612267116526e-04 -1.340751894700475434e-03
5.000500050005000918e-02 5.699214871989144449e+00 -1.570147072313648681e-02 6.438192158966071749e-06 1.051276353270337527e+00 6.768319174531533028e-06 1.232680914347561148e-04 -1.680217400625365473e-03
6.000600060006000547e-02 5.699057840075838932e+00 -1.570177992587454968e-02 6.438184221788723069e-06 1.061842918220921472e+00 6.836340322108030192e-06 1.232729464202984761e-04 -2.009686801063279189e-03
7.000700070007001563e-02 5.698900804814006626e+00 -1.570214010877157493e-02 6.438176284282652760e-06 1.072515689588597887e+00 6.905045077230365747e-06 1.232786019977465141e-04 -2.329453796037819421e-03
8.000800080008001192e-02 5.698743765701296482e+00 -1.570254977420436696e-02 6.438168346397071881e-06 1.083295734872888438e+00 6.974440310045585184e-06 1.232850347056827953e-04 -2.639803590654471541e-03
9.000900090009000820e-02 5.698586722250143843e+00 -1.570300746911415871e-02 6.438160408082682266e-06 1.094184132302942203e+00 7.044532959745105956e-06 1.232922217875275232e-04 -2.941013101499984333e-03
1.000100010001000184e-01 5.698429673987318367e+00 -1.570351178362126496e-02 6.438152469291625707e-06 1.105181970945379621e+00 7.115330035258581460e-06 1.233001411691659721e-04 -3.233351202174730710e-03
1.100110011001100146e-01 5.698272620453476378e+00 -1.570406134969479575e-02 6.438144529977451764e-06 1.116290350813223586e+00 7.186838615954765748e-06 1.233087714374889545e-04 -3.517078959669347332e-03
1.200120012001200109e-01 5.698115561202741652e+00 -1.570465483988041019e-02 6.438136590095061015e-06 1.127510382975922543e+00 7.259065852349382342e-06 1.233180918198895830e-04 -3.792449860845339710e-03
1.300130013001300211e-01 5.697958495802301293e+00 -1.570529096608186057e-02 6.438128649600674562e-06 1.138843189670480704e+00 7.332018966820136938e-06 1.233280821646462575e-04 -4.059710029768990452e-03
1.400140014001400313e-01 5.697801423832016710e+00 -1.570596847839210095e-02 6.438120708451787444e-06 1.150289904413705599e+00 7.405705254328905317e-06 1.233387229221231420e-04 -4.319098436682614062e-03
1.500150015001500137e-01 5.697644344884048806e+00 -1.570668616396967213e-02 6.438112766607133065e-06 1.161851672115582934e+00 7.480132083151179484e-06 1.233499951267181714e-04 -4.570847099295463623e-03
1.600160016001600238e-01 5.697487258562502710e+00 -1.570744284595615783e-02 6.438104824026650152e-06 1.173529649193791435e+00 7.555306895612850811e-06 1.233618803794896330e-04 -4.815181277182443639e-03
1.700170017001700340e-01 5.697330164483077830e+00 -1.570823738243043444e-02 6.438096880671441260e-06 1.185325003689369439e+00 7.631237208834394545e-06 1.233743608313924768e-04 -5.052319660041671920e-03
1.800180018001800164e-01 5.697173062272731237e+00 -1.570906866539548835e-02 6.438088936503744813e-06 1.197238915383542324e+00 7.707930615482526846e-06 1.233874191670552081e-04 -5.282474550553487892e-03
1.900190019001900266e-01 5.697015951569352588e+00 -1.570993561979352679e-02 6.438080991486895294e-06 1.209272575915725456e+00 7.785394784529425831e-06 1.234010385890287075e-04 -5.505852042619939143e-03
2.000200020002000367e-01 5.696858832021445274e+00 -1.571083720254516647e-02 6.438073045585300381e-06 1.221427188902713956e+00 7.863637462019587771e-06 1.234152028024386167e-04 -5.722652195736133846e-03
2.100210021002100191e-01 5.696701703287810226e+00 -1.571177240160841898e-02 6.438065098764399434e-06 1.233703970059067734e+00 7.942666471844363332e-06 1.234298959999719847e-04 -5.933069206273594576e-03
2.200220022002200293e-01 5.696544565037243935e+00 -1.571274023505325398e-02 6.438057150990638090e-06 1.246104147318709776e+00 8.022489716524311087e-06 1.234451028471306817e-04 -6.137291576444811603e-03
2.300230023002300395e-01 5.696387416948232918e+00 -1.571373975014746585e-02 6.438049202231436075e-06 1.258628960957744569e+00 8.103115177999389474e-06 1.234608084676822731e-04 -6.335502281704885781e-03
2.400240024002400219e-01 5.696230258708649963e+00 -1.571477002244962839e-02 6.438041252455157554e-06 1.271279663718511310e+00 8.184550918427095610e-06 1.234769984292407544e-04 -6.527878937394323601e-03
2.500250025002500598e-01 5.696073090015458362e+00 -1.571583015490485638e-02 6.438033301631080642e-06 1.284057520934884788e+00 8.266805080988637368e-06 1.234936587289084072e-04 -6.714593965386837782e-03
2.600260026002600422e-01 5.695915910574408159e+00 -1.571691927693914456e-02 6.438025349729366910e-06 1.296963810658834371e+00 8.349885890703174295e-06 1.235107757789106358e-04 -6.895814761514438423e-03
2.700270027002700246e-01 5.695758720099735939e+00 -1.571803654354802723e-02 6.438017396721027503e-06 1.309999823788256856e+00 8.433801655250278129e-06 1.235283363921556136e-04 -7.071703864561977929e-03
2.800280028002800625e-01 5.695601518313856637e+00 -1.571918113437533251e-02 6.438009442577898575e-06 1.323166864196091863e+00 8.518560765800628178e-06 1.235463277676506801e-04 -7.242419127624327713e-03
2.900290029002900449e-01 5.695444304947373304e+00 -1.572035225373425577e-02 6.438001487272637901e-06 1.336466248860737727e+00 8.604171697855112649e-06 1.235647374907438464e-04 -7.408113708780728578e-03
3.000300030003000273e-01 5.695287079739085989e+00 -1.572154913064435430e-02 6.437993530778728270e-06 1.349899307997775910e+00 8.690643012092363038e-06 1.235835535336321240e-04 -7.568936059165229206e-03
