# k  Ps  Pt
4.566104969796978808e-05 2.871302725712352890e-09 8.361880676311086012e-12
4.630529358357249645e-05 2.870026188014563094e-09 8.361836369763749792e-12
4.695862727737905339e-05 2.868744577159979481e-09 8.361776851365058581e-12
4.762117902990902466e-05 2.867468945134380018e-09 8.361733516721895276e-12
4.829307890120303524e-05 2.866193488607179264e-09 8.361689852661436255e-12
4.897445878635299960e-05 2.864918281204546878e-09 8.361646064314610271e-12
4.966545244139401483e-05 2.863641437637363775e-09 8.361596580570617822e-12
5.036619550956066081e-05 2.862366826698517504e-09 8.361552843452534740e-12
5.107682554791362996e-05 2.861092391670020363e-09 8.361508768891785016e-12
5.179748205434317151e-05 2.859818231172293939e-09 8.361464652269078857e-12
5.252830649495191163e-05 2.858544346549282150e-09 8.361420497790514973e-12
5.326944233182564174e-05 2.857270738987356381e-09 8.361376309013451443e-12
5.402103505119485333e-05 2.855997413167478779e-09 8.361332100023055112e-12
5.478323219199359893e-05 2.854724369218811528e-09 8.361287871192599312e-12
5.555618337482229297e-05 2.853451607072234176e-09 8.361243622300008665e-12
5.634004033131816591e-05 2.852179126885965695e-09 8.361199353804454038e-12
5.713495693394010714e-05 2.850906928336509808e-09 8.361155064723450042e-12
5.794108922617488311e-05 2.849635011863704091e-09 8.361110756359027429e-12
5.875859545316782060e-05 2.848363377161554168e-09 8.361066427780772801e-12
5.958763609278740122e-05 2.847092024248775002e-09 8.361022079028872270e-12
6.042837388712703342e-05 2.845820953147741413e-09 8.360977710156922942e-12
6.128097387445117106e-05 2.844550164089911773e-09 8.360933321844663714e-12
6.214560342159353092e-05 2.843279656670185130e-09 8.360888912861374236e-12
6.302243225681044452e-05 2.842009431168998458e-09 8.360844484034545314e-12
6.391163250309971912e-05 2.840739487454672877e-09 8.360800034954163549e-12
6.481337871198824662e-05 2.839469821756201575e-09 8.360755554426656105e-12
6.572784789779647849e-05 2.838200433144432835e-09 8.360711039668852641e-12
6.665521957238741712e-05 2.836931326425155322e-09 8.360666504905190076e-12
6.759567578040416222e-05 2.835662501610298636e-09 8.360621950163409659e-12
6.854940113500643413e-05 2.834393961901469058e-09 8.360577384624873683e-12
6.951658285411013987e-05 2.833125706928257179e-09 8.360532807214727182e-12
7.049741079713804561e-05 2.831857733955767321e-09 8.360488210067928481e-12
7.149207750229056809e-05 2.830590042857646403e-09 8.360443592801017973e-12
7.250077822434019496e-05 2.829322633625336001e-09 8.360398955374223135e-12
7.352371097296129772e-05 2.828055506247394968e-09 8.360354297740743639e-12
7.456107655159941664e-05 2.826788660812164951e-09 8.360309620142715606e-12
7.561307859688877237e-05 2.825522097217037918e-09 8.360264922267088332e-12
7.667992361862747768e-05 2.824255815600720476e-09 8.360220204503777311e-12
7.776182104031526042e-05 2.822997570074093465e-09 8.360198821799248842e-12
7.885898324026315725e-05 2.821731896676074095e-09 8.360154210230606244e-12
7.997162559328494966e-05 2.820466506671702574e-09 8.360109583114751836e-12
8.109996651297417757e-05 2.819201397594181146e-09 8.360064932939011573e-12
8.224422749458036434e-05 2.817924600852838455e-09 8.359985667402360343e-12
8.340463315848838349e-05 2.816660007916892363e-09 8.359940815982734194e-12
8.458141129431126699e-05 2.815395696957596508e-09 8.359895944581161251e-12
8.577479290560697188e-05 2.814131667975000520e-09 8.359851053183713536e-12
8.698501225522330658e-05 2.812867920967051338e-09 8.359806141768834270e-12
8.821230691128539598e-05 2.811604455926876745e-09 8.359761210301691395e-12
8.945691779383023912e-05 2.810341272869873468e-09 8.359716258813449587e-12
9.071908922209903875e-05 2.809078371783002658e-09 8.359671287251300150e-12
9.199906896249871401e-05 2.807815752679427654e-09 8.359626295638791880e-12
9.329710827723824767e-05 2.806553415570085852e-09 8.359581283995447533e-12
9.461346197365134688e-05 2.805291360411728113e-09 8.359536252175145331e-12
9.594838845421686932e-05 2.804029587240829794e-09 8.359491200274093488e-12
9.730214976728215122e-05 2.802768096051763585e-09 8.359446128259792852e-12
9.867501165850490390e-05 2.801506886861341518e-09 8.359401036168981876e-12
1.000672436230189372e-04 2.800263712740672077e-09 8.359407524167131315e-12
1.014791189583359206e-04 2.799003059440214139e-09 8.359362392028729642e-12
1.029109148179954881e-04 2.797742688076193880e-09 8.359317239570369650e-12
1.043629122659697848e-04 2.796482598662760637e-09 8.359272066830709108e-12
1.058353963318373633e-04 2.795222791188733825e-09 8.359226873755112090e-12
1.073286560667348333e-04 2.793940331097963555e-09 8.359112934814242689e-12
1.088429846000980123e-04 2.792681086524927406e-09 8.359067666340661086e-12
1.103786791972041813e-04 2.791422123646245431e-09 8.359022376726509527e-12
1.119360413175250513e-04 2.790163442669131749e-09 8.358977066575221118e-12
1.135153766739042936e-04 2.788905043380663454e-09 8.358931735234153585e-12
1.151169952925692954e-04 2.787646925868964232e-09 8.358886382951913478e-12
1.167412115739898130e-04 2.786389090264923007e-09 8.358841010104042410e-12
1.183883443545957065e-04 2.785131536237011580e-09 8.358795615682000418e-12
1.200587169693644203e-04 2.783874264160068500e-09 8.358750200792522852e-12
1.217526573152926458e-04 2.782617273676339807e-09 8.358704764348574832e-12
1.234704979157629640e-04 2.781360565048343675e-09 8.358659307120196885e-12
1.252125759858185633e-04 2.780104138205942219e-09 8.358613828881494387e-12
1.269792334983597449e-04 2.778847993191453173e-09 8.358568329743706975e-12
1.287708172512728967e-04 2.777592129702145390e-09 8.358522808782324604e-12
1.305876789355081438e-04 2.776336548207548919e-09 8.358477267390508451e-12
1.324301752041165186e-04 2.775081248223198137e-09 8.358431704097474839e-12
1.342986677422621530e-04 2.773826230103860883e-09 8.358386119952933739e-12
1.361935233382209056e-04 2.772571493765016670e-09 8.358340514687004551e-12
1.381151139553820110e-04 2.771317039166766026e-09 8.358294888163005371e-12
1.400638168052648676e-04 2.770062866111551752e-09 8.358249239770956737e-12
1.420400144215669023e-04 2.768808974850748245e-09 8.358203570250445359e-12
1.440440947352547075e-04 2.767555365334214299e-09 8.358157879434613397e-12
1.460764511507161255e-04 2.766302037560552805e-09 8.358112167303198158e-12
1.481374826229860987e-04 2.765048991454573459e-09 8.358066433612514171e-12
1.502275937360619807e-04 2.763796227192854093e-09 8.358020678879617174e-12
1.523471947823247334e-04 2.762543744454018083e-09 8.357974902118265540e-12
1.544967018430791570e-04 2.761291543617071725e-09 8.357929104455804660e-12
1.566765368702318804e-04 2.760039624279878271e-09 8.357883284661829223e-12
1.588871277691211552e-04 2.758787986569922382e-09 8.357837443104541231e-12
1.611289084825151205e-04 2.757536630650854713e-09 8.357791580261212588e-12
1.634023190757963751e-04 2.756285556576035029e-09 8.357745696277795435e-12
1.657078058233464092e-04 2.755034764017914698e-09 8.357699790147134369e-12
1.680458212961507115e-04 2.753784253146057059e-09 8.357653862364904447e-12
1.704168244506391362e-04 2.752534023961592870e-09 8.357607912918281138e-12
1.728212807187795520e-04 2.751284076139596485e-09 8.357561940805984930e-12
1.752596620994437495e-04 2.750034410228021708e-09 8.357515947670922534e-12
1.777324472510604313e-04 2.748785026032345023e-09 8.357469932907344096e-12
1.802401215855773764e-04 2.747535923432099156e-09 8.357423896134059907e-12
1.827831773637490689e-04 2.746287102305256353e-09 8.357377836962705441e-12
1.853621137917671653e-04 2.745038562770462439e-09 8.357331755735649460e-12
1.879774371192564604e-04 2.743790305134350373e-09 8.357285653368805468e-12
1.906296607386521807e-04 2.742542329041838399e-09 8.357239528765663169e-12
1.933193052859797203e-04 2.741294634206547492e-09 8.357193381038656151e-12
1.960468987430570402e-04 2.740062512917523469e-09 8.357193571624773824e-12
1.988129765411374031e-04 2.738815400799841508e-09 8.357147460341401043e-12
2.016180816660159973e-04 2.737568570698146359e-09 8.357101328263475066e-12
2.044627647646190453e-04 2.736322022615648722e-09 8.357055175385435043e-12
2.073475842530962936e-04 2.735075756560323033e-09 8.357009001716785472e-12
2.102731064264400053e-04 2.733829772487429573e-09 8.356962807101198911e-12
2.132399055696483712e-04 2.732584070432826622e-09 8.356916591636100111e-12
2.162485640704594700e-04 2.731338650395464901e-09 8.356870355303005141e-12
2.192996725336747758e-04 2.730093512385179175e-09 8.356824098117745137e-12
2.223938298970955805e-04 2.728848656376711483e-09 8.356777819983236239e-12
2.255316435490965332e-04 2.727604082404685952e-09 8.356731520996231112e-12
2.287137294478555703e-04 2.726359790421413551e-09 8.356685200987975218e-12
