# k_modes P_scalar P_tensor
4.5660199901703955e-05 2.8922081486981382e-09 8.3243970264976940e-12
4.6304433917936205e-05 2.8909265945874866e-09 8.3243439057701521e-12
4.6957757633043377e-05 2.8896447848842374e-09 8.3242892165436827e-12
4.7620299296424648e-05 2.8883660398249092e-09 8.3242425194669961e-12
4.8292188966990294e-05 2.8870859585938947e-09 8.3241911268185018e-12
4.8973558538692280e-05 2.8858060874612000e-09 8.3241395139620303e-12
4.9664541766415608e-05 2.8845264085245820e-09 8.3240876199703915e-12
5.0365274292234403e-05 2.8832471912748190e-09 8.3240362292324453e-12
5.1075893672039495e-05 2.8819674887542862e-09 8.3239825896855361e-12
5.1796539402540588e-05 2.8806893323756942e-09 8.3239325947099671e-12
5.2527352948650145e-05 2.8794102574801291e-09 8.3238790944800979e-12
5.3268477771252932e-05 2.8781318117390222e-09 8.3238265734357689e-12
5.4020059355368420e-05 2.8768540807935615e-09 8.3237752861386098e-12
5.4782245238709682e-05 2.8755762428811163e-09 8.3237228490979551e-12
5.5555185040645085e-05 2.8742977438543694e-09 8.3236676648029634e-12
5.6339030491569736e-05 2.8730221175037497e-09 8.3236199373401469e-12
5.7133935462690122e-05 2.8717443838977436e-09 8.3235652733421385e-12
5.7940055996229772e-05 2.8704680103674340e-09 8.3235137278231610e-12
5.8757550336060279e-05 2.8691919400368729e-09 8.3234622131293372e-12
5.9586578958765812e-05 2.8679157092477081e-09 8.3234093902658666e-12
6.0427304605144625e-05 2.8666402004845591e-09 8.3233578164596418e-12
6.1279892312155840e-05 2.8653647231109424e-09 8.3233055064901740e-12
6.2144509445316194e-05 2.8640879608915384e-09 8.3232486177530405e-12
6.3021325731555124e-05 2.8628141935447702e-09 8.3231995730699967e-12
6.3910513292532315e-05 2.8615397819865242e-09 8.3231478388196327e-12
6.4812246678425261e-05 2.8602657671400181e-09 8.3230964032056713e-12
6.5726702902194864e-05 2.8589927152513881e-09 8.3230469186996048e-12
6.6654061474332978e-05 2.8577172934745780e-09 8.3229896932737878e-12
6.7594504438101184e-05 2.8564445374458752e-09 8.3229394023754516e-12
6.8548216405265867e-05 2.8551710007633931e-09 8.3228859813896467e-12
6.9515384592338866e-05 2.8538983602066661e-09 8.3228343269188947e-12
7.0496198857328117e-05 2.8526255176266060e-09 8.3227812323977659e-12
7.1490851737007605e-05 2.8513520189205673e-09 8.3227254030093232e-12
7.2499538484712317e-05 2.8500810667783625e-09 8.3226761197630804e-12
7.3522457108667966e-05 2.8488093731776719e-09 8.3226238608395776e-12
7.4559808410860147e-05 2.8475376551808145e-09 8.3225706540956904e-12
7.5611796026451886e-05 2.8462656460799119e-09 8.3225157672388155e-12
7.6678626463758771e-05 2.8449961831020294e-09 8.3224674921104559e-12
7.7760509144786554e-05 2.8437255402715341e-09 8.3224148887502159e-12
7.8857656446341588e-05 2.8424530850556054e-09 8.3223561391567558e-12
7.9970283741720422e-05 2.8411848130549062e-09 8.3223088146529795e-12
8.1098609442989173e-05 2.8399137059205786e-09 8.3222523045927407e-12
8.2242855043857809e-05 2.8386444751557649e-09 8.3222004662564179e-12
8.3403245163160417e-05 2.8373737170740063e-09 8.3221432786397278e-12
8.4580007588947801e-05 2.8361056632107935e-09 8.3220931792726649e-12
8.5773373323204009e-05 2.8348383456204505e-09 8.3220443696530012e-12
8.6983576627192220e-05 2.8335691378353797e-09 8.3219891957195646e-12
8.8210855067440366e-05 2.8323008716711002e-09 8.3219359277040006e-12
8.9455449562377237e-05 2.8310340702547535e-09 8.3218861031796790e-12
9.0717604429624792e-05 2.8297654363847366e-09 8.3218300460609772e-12
9.1997567433958768e-05 2.8284989208999457e-09 8.3217793603282900e-12
9.3295589835944891e-05 2.8272318442132005e-09 8.3217261714614382e-12
9.4611926441263270e-05 2.8259657499476707e-09 8.3216750336205242e-12
9.5946835650726695e-05 2.8246986100932896e-09 8.3216199492073055e-12
9.7300579511005894e-05 2.8234318437122157e-09 8.3215651169183078e-12
9.8673423766069295e-05 2.8221659509453747e-09 8.3215120020365305e-12
1.0006563790935054e-04 2.8208992567718376e-09 8.3214556642320822e-12
1.0147749523665021e-04 2.8196351681519145e-09 8.3214061518215430e-12
1.0290927289978438e-04 2.8183703591235182e-09 8.3213536634051690e-12
1.0436125196099070e-04 2.8171057007596586e-09 8.3213007850933311e-12
1.0583371744810196e-04 2.8158416637488334e-09 8.3212488523920485e-12
1.0732695841049721e-04 2.8145768170370278e-09 8.3211936971213785e-12
1.0884126797584389e-04 2.8133128504607716e-09 8.3211402798379354e-12
1.1037694340763874e-04 2.8120483995959222e-09 8.3210845685986578e-12
1.1193428616356248e-04 2.8107854252741353e-09 8.3210323634133539e-12
1.1351360195465588e-04 2.8095229709132122e-09 8.3209808418993710e-12
1.1511520080533269e-04 2.8082592153020428e-09 8.3209246031099397e-12
1.1673939711423746e-04 2.8069970008031731e-09 8.3208720805346237e-12
1.1838650971596384e-04 2.8057350482059527e-09 8.3208194702290118e-12
1.2005686194364195e-04 2.8044741966945532e-09 8.3207692635391823e-12
1.2175078169241001e-04 2.8032125575068715e-09 8.3207158664657213e-12
1.2346860148378143e-04 2.8019506188344935e-09 8.3206607166337461e-12
1.2521065853091906e-04 2.8006897155134801e-09 8.3206077861345469e-12
1.2697729480483198e-04 2.7994283300266542e-09 8.3205525493524912e-12
1.2876885710150451e-04 2.7981683959768131e-09 8.3205007618465576e-12
1.3058569710997433e-04 2.7969076844986383e-09 8.3204458277587974e-12
1.3242817148136898e-04 2.7956481681093347e-09 8.3203935559580780e-12
1.3429664189891873e-04 2.7943881787348579e-09 8.3203390273865626e-12
1.3619147514895487e-04 2.7931291867108864e-09 8.3202866068023286e-12
1.3811304319291209e-04 2.7918693159783443e-09 8.3202306915789758e-12
1.4006172324034467e-04 2.7906118454321655e-09 8.3201810842493676e-12
1.4203789782297435e-04 2.7893518114151287e-09 8.3201229670454201e-12
1.4404195486978272e-04 2.7880933361046378e-09 8.3200686247774417e-12
1.4607428778316188e-04 2.7868348952366489e-09 8.3200135174122260e-12
1.4813529551614175e-04 2.7855778783219139e-09 8.3199617982709718e-12
1.5022538265070450e-04 2.7843206947545057e-09 8.3199087123547106e-12
