# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 6.400000000000000355e+00 -1.756253400553200311e-02 6.334792971659579387e-06 1.000000000000000000e+00 6.334792971659579387e-06 1.542213003477340013e-04 1.542213003477340013e-04
1.000100010001000149e-02 6.399824356970629680e+00 -1.756257141644420455e-02 6.334783201076051960e-06 1.010051177235855357e+00 6.398455229780786428e-06 1.542219573788515020e-04 -2.696564233787885788e-04
2.000200020002000298e-02 6.399648713198494931e+00 -1.756268217850406876e-02 6.334773430424957562e-06 1.020203380635537282e+00 6.462757269279720860e-06 1.542239026515722117e-04 -6.810620927602395588e-04
3.000300030003000273e-02 6.399473067960851580e+00 -1.756286413490390150e-02 6.334763659625887355e-06 1.030457625630923912e+00 6.527705519631154315e-06 1.542270983105468768e-04 -1.080361154782107222e-03
4.000400040004000596e-02 6.399297420556201210e+00 -1.756311519288607237e-02 6.334753888600794029e-06 1.040814937860179201e+00 6.593306474923563669e-06 1.542315076392927785e-04 -1.467908539863604749e-03
5.000500050005000918e-02 6.399121770303664469e+00 -1.756343332184131384e-02 6.334744117273922346e-06 1.051276353270337527e+00 6.659566694508452108e-06 1.542370950253829013e-04 -1.844048953147462691e-03
6.000600060006000547e-02 6.398946116542381546e+00 -1.756381655150623597e-02 6.334734345571740528e-06 1.061842918220921472e+00 6.726492803656196569e-06 1.542438259274822024e-04 -2.209117151351682080e-03
7.000700070007001563e-02 6.398770458630872682e+00 -1.756426297004098219e-02 6.334724573422869956e-06 1.072515689588597887e+00 6.794091494218465625e-06 1.542516668403764264e-04 -2.563438242121191934e-03
8.000800080008001192e-02 6.398594795946483949e+00 -1.756477072234981576e-02 6.334714800758019948e-06 1.083295734872888438e+00 6.862369525297322146e-06 1.542605852643586276e-04 -2.907327943698454365e-03
9.000900090009000820e-02 6.398419127884875657e+00 -1.756533800854938668e-02 6.334705027509935239e-06 1.094184132302942203e+00 6.931333723921043789e-06 1.542705496772948633e-04 -3.241092821120147242e-03
1.000100010001000184e-01 6.398243453859456586e+00 -1.756596308225314568e-02 6.334695253613329918e-06 1.105181970945379621e+00 7.000990985726721431e-06 1.542815295035402257e-04 -3.565030555828809476e-03
1.100110011001100146e-01 6.398067773300836869e+00 -1.756664424892872070e-02 6.334685479004822204e-06 1.116290350813223586e+00 7.071348275649726208e-06 1.542934950842102357e-04 -3.879430204426432063e-03
1.200120012001200109e-01 6.397892085656305738e+00 -1.756737986432601109e-02 6.334675703622885318e-06 1.127510382975922543e+00 7.142412628620111200e-06 1.543064176487634969e-04 -4.184572446689766023e-03
1.300130013001300211e-01 6.397716390389333263e+00 -1.756816833297071556e-02 6.334665927407778873e-06 1.138843189670480704e+00 7.214191150265988440e-06 1.543202692877975184e-04 -4.480729823988172968e-03
1.400140014001400313e-01 6.397540686979091618e+00 -1.756900810671806895e-02 6.334656150301509064e-06 1.150289904413705599e+00 7.286691017624015067e-06 1.543350229269626207e-04 -4.768166968652721299e-03
1.500150015001500137e-01 6.397364974919989677e+00 -1.756989768336158012e-02 6.334646372247767682e-06 1.161851672115582934e+00 7.359919479856980158e-06 1.543506523018973228e-04 -5.047140825184885139e-03
1.600160016001600238e-01 6.397189253721230706e+00 -1.757083560529148006e-02 6.334636593191885527e-06 1.173529649193791435e+00 7.433883858978627759e-06 1.543671319340893938e-04 -5.317900864100230142e-03
1.700170017001700340e-01 6.397013522906382477e+00 -1.757182045819769695e-02 6.334626813080781584e-06 1.185325003689369439e+00 7.508591550585755935e-06 1.543844371075675666e-04 -5.580689289483341600e-03
1.800180018001800164e-01 6.396837782012956275e+00 -1.757285086981206709e-02 6.334617031862923217e-06 1.197238915383542324e+00 7.584050024597680768e-06 1.544025438463273640e-04 -5.835741240346336775e-03
1.900190019001900266e-01 6.396662030592006332e+00 -1.757392550868460204e-02 6.334607249488273647e-06 1.209272575915725456e+00 7.660266826003113585e-06 1.544214288923976620e-04 -6.083284987706640869e-03
2.000200020002000367e-01 6.396486268207728365e+00 -1.757504308298849655e-02 6.334597465908251301e-06 1.221427188902713956e+00 7.737249575614570004e-06 1.544410696844508984e-04 -6.323542127374308722e-03
2.100210021002100191e-01 6.396310494437074112e+00 -1.757620233934873225e-02 6.334587681075684914e-06 1.233703970059067734e+00 7.815005970830335370e-06 1.544614443368639309e-04 -6.556727769535198626e-03
2.200220022002200293e-01 6.396134708869366747e+00 -1.757740206168896188e-02 6.334577894944774566e-06 1.246104147318709776e+00 7.893543786404105141e-06 1.544825316191336727e-04 -6.783050726112700018e-03
2.300230023002300395e-01 6.395958911105922517e+00 -1.757864107009146984e-02 6.334568107471045100e-06 1.258628960957744569e+00 7.972870875222348532e-06 1.545043109355532889e-04 -7.002713696560143586e-03
2.400240024002400219e-01 6.395783100759678597e+00 -1.757991821966497711e-02 6.334558318611304610e-06 1.271279663718511310e+00 8.052995169089477561e-06 1.545267623050543032e-04 -7.215913453109188205e-03
2.500250025002500598e-01 6.395607277454813833e+00 -1.758123239941501714e-02 6.334548528323608873e-06 1.284057520934884788e+00 8.133924679520935862e-06 1.545498663411201538e-04 -7.422841026246597244e-03
2.600260026002600422e-01 6.395431440826374825e+00 -1.758258253111170608e-02 6.334538736567208827e-06 1.296963810658834371e+00 8.215667498544205550e-06 1.545736042316772510e-04 -7.623681891179128964e-03
2.700270027002700246e-01 6.395255590519898448e+00 -1.758396756814959230e-02 6.334528943302520929e-06 1.309999823788256856e+00 8.298231799507915115e-06 1.545979577188683464e-04 -7.818616156326278765e-03
2.800280028002800625e-01 6.395079726191086777e+00 -1.758538649456894976e-02 6.334519148491081413e-06 1.323166864196091863e+00 8.381625837899041569e-06 1.546229090816840198e-04 -8.007818724522641415e-03
2.900290029002900449e-01 6.394903847506143713e+00 -1.758683832607766187e-02 6.334509352095587795e-06 1.336466248860737727e+00 8.465857952168452468e-06 1.546484411537970736e-04 -8.191459111016138883e-03
