# k  Ps  Pt
4.566454644232394112e-05 2.651164598380362568e-09 8.108515929781475866e-12
4.630883124668555670e-05 2.649970217886518637e-09 8.108471082751325643e-12
4.696220631781813796e-05 2.648776107780736733e-09 8.108426215759517168e-12
4.762479991103559944e-05 2.647582268031245675e-09 8.108381328693353546e-12
4.829674209121684542e-05 2.646388698658772543e-09 8.108336421606330097e-12
4.897816475833661684e-05 2.645195399664741327e-09 8.108291494490082927e-12
4.966920167335726243e-05 2.644002371008625555e-09 8.108246547205128706e-12
5.036998848448512696e-05 2.642809612758172145e-09 8.108201579952776052e-12
5.108066275379846179e-05 2.641617124993164321e-09 8.108156593345324412e-12
5.180136398424996778e-05 2.640424907760655427e-09 8.108111587412972339e-12
5.253223364705097076e-05 2.639232960945515982e-09 8.108066561510937393e-12
5.327341520944133566e-05 2.638041284564304903e-09 8.108021515680812866e-12
5.402505416285219395e-05 2.636849878622653219e-09 8.107976449928843001e-12
5.478729805146504182e-05 2.635658743114250372e-09 8.107931364220268441e-12
5.556029650117434449e-05 2.634467877991111200e-09 8.107886258383235951e-12
5.634420124895816653e-05 2.633277283326626476e-09 8.107841132647682356e-12
5.713916617266428193e-05 2.632086959139594705e-09 8.107795987068923742e-12
5.794534732121545031e-05 2.630896905380286618e-09 8.107750821462663622e-12
5.876290294524150290e-05 2.629707122025009693e-09 8.107705635738259482e-12
5.959199352814292740e-05 2.628517609197547373e-09 8.107660430296817985e-12
6.043278181759394771e-05 2.627328366757820758e-09 8.107615204657477392e-12
6.128543285748898144e-05 2.626139394765144487e-09 8.107569959005422763e-12
6.215011402033980700e-05 2.624950693245516019e-09 8.107524693412823991e-12
6.302699504013098224e-05 2.623762262203573771e-09 8.107479407884296808e-12
6.391624804563756702e-05 2.622574101629609537e-09 8.107434102373297764e-12
6.481804759421361977e-05 2.621386211520379528e-09 8.107388776856620567e-12
6.573257070605676735e-05 2.620198591838804960e-09 8.107343431197226268e-12
6.665999689895738608e-05 2.619011242674123317e-09 8.107298065678160887e-12
6.760050822353685289e-05 2.617824163977732776e-09 8.107252680126786013e-12
6.855428929898372983e-05 2.616637355755224251e-09 8.107207274547261783e-12
6.952152734929333011e-05 2.615450818009402711e-09 8.107161848935722098e-12
7.050241224001996265e-05 2.614264550750976009e-09 8.107116403315664057e-12
7.149713651554638182e-05 2.613078554019960661e-09 8.107070937805258165e-12
7.250589543687986117e-05 2.611892827796104805e-09 8.107025452324048183e-12
7.352888701998067827e-05 2.610707372005929160e-09 8.106979946617087998e-12
7.456631207463287675e-05 2.609522186777973043e-09 8.106934421096738455e-12
7.561837424386192710e-05 2.608337272037515161e-09 8.106888875501736497e-12
7.668528004390950470e-05 2.607152627879149822e-09 8.106843310131245240e-12
7.776723890477126695e-05 2.605968248604091883e-09 8.106797708302829877e-12
7.886446321130822753e-05 2.604784117483109762e-09 8.106752021207628845e-12
7.997716834493667456e-05 2.603600254894939773e-09 8.106706308029282447e-12
8.110557272590640391e-05 2.602416660201222236e-09 8.106660566917434503e-12
8.224989785617671382e-05 2.601233333348711533e-09 8.106614797663364082e-12
8.341036836289600202e-05 2.600050274998681077e-09 8.106569002229091897e-12
8.458721204249549557e-05 2.598867519154662211e-09 8.106523283203604466e-12
8.578065990540435055e-05 2.597685035628871361e-09 8.106477549528226551e-12
8.699094622139718041e-05 2.596502822530648271e-09 8.106431792920928593e-12
8.821830856557975930e-05 2.595320879161955900e-09 8.106386012508222405e-12
8.946298786502454191e-05 2.594139206162852132e-09 8.106340211489791229e-12
9.072522844606314214e-05 2.592957803576962058e-09 8.106294389996182585e-12
9.200527808224780515e-05 2.591776671367811149e-09 8.106248547894467578e-12
9.330338804298784941e-05 2.590595809540502696e-09 8.106202685189034143e-12
9.461981314287333034e-05 2.589415218122592981e-09 8.106156801958701930e-12
9.595481179169350144e-05 2.588234897086984393e-09 8.106110898099834255e-12
9.730864604516300176e-05 2.587054834101082361e-09 8.106064932648127202e-12
9.868158165636166542e-05 2.585875039953854487e-09 8.106018941330926680e-12
1.000738881279013699e-04 2.584695516643947802e-09 8.105972930771400000e-12
1.014858387648277023e-04 2.583516265558120676e-09 8.105926895844896696e-12
1.029177107282700914e-04 2.582337368068259128e-09 8.105881092281702527e-12
